customer_id,customer_city,customer_state
3JeAegsqlpZ1,sao paulo,SP
6gl6qALuNSUL,claudio,MG
rAV7gKaOWkEy,bofete,SP
CiOHqzRk5bbt,manhuacu,MG
tIPFV5qJBgvT,tatui,SP
yD2x7GOSsjqA,governador valadares,MG
a9gFQyCfrVym,parnaiba,PI
dXsploeBzop3,curitiba,PR
9tQzKeNKhIoQ,sao paulo,SP
TLYzpBJ3Cbnv,uberlandia,MG
J2bElQYq3gEQ,carapicuiba,SP
lFEdYUjKo6tu,bom jesus da penha,MG
8tpStNEuJ43p,porto alegre,RS
qvo2fc2aRUvp,itu,SP
pk1Ke0Nxac36,rio de janeiro,RJ
UlqYPqEYgETA,nilopolis,RJ
M7wmpVTfmiFp,santa cruz do rio pardo,SP
4YfVSBGWPVdv,santos,SP
pqIfz7jRxaKh,sao bernardo do campo,SP
5XGKxFrzDdYP,caiua,SP
oWBBqGwqpx4m,bom jesus,PI
EeCs1w6JNdPU,primavera do leste,MT
hgHQgpZ9rVHu,itajai,SC
uvuFFZDOAlU7,sao paulo,SP
bVaqeOVzrNj1,niteroi,RJ
EZkjVsEKMQF0,araraquara,SP
LkYwWbX35V3p,sao paulo,SP
paCiJAGDh54D,piracicaba,SP
wuCRBXrAQIyN,goiania,GO
jsuJ85mr7Rlb,guarulhos,SP
7qqTmdyVGDMP,sao goncalo,RJ
ebCRKHmjYa2q,joinville,SC
ap5gXjoc79ju,sao paulo,SP
63cb18M1Z31w,ibirite,MG
cIIcBGeYxzLl,palhoca,SC
asn6Y9BiG6Ma,curitiba,PR
MdXOdiX1GYJB,itupeva,SP
DFT8eetndqim,monte azul paulista,SP
pfARTA1RWJhn,joinville,SC
G7fLaaLEAieo,concordia,SC
VOohNhPUdkDS,araraquara,SP
dvl5K6eo1ouv,osasco,SP
Nxs89iJKBJ8Z,jundiai,SP
fo2DhPj0geOU,januaria,MG
ufG7Q9l2g5Dn,sao paulo,SP
uJZ6s76zSxtN,campinas,SP
gngo3QnJVUXB,sao paulo,SP
HtPYXtaKFzex,belo horizonte,MG
xIjzSNbQQ1uw,sao bernardo do campo,SP
3qJ5VThdsczu,uberlandia,MG
lZCaJq9iYKt0,brasilia,DF
ncBjZzosb18g,dom pedrito,RS
E1CIwdUAL7mV,rio de janeiro,RJ
QsVvy2vjoqJ2,passo fundo,RS
eWPTvp2Uxgjr,dourados,MS
SDjEL1DMM89j,assis,SP
A5ypt74Dm5ED,acarau,CE
M8toooCMGG65,porto alegre,RS
YeToIjRZbK1b,sao paulo,SP
zwFtWWaE2Ja8,vera,MT
Yu7y0eUjrMjF,sao bernardo do campo,SP
tvBnqB57rQrh,betim,MG
EmOTT0NimdgC,resende,RJ
3QWW2QATQoks,maua,SP
9U87V4FA6owh,sao paulo,SP
LGiyKX8bqvRl,telemaco borba,PR
JG5L1Y6huM3k,peruibe,SP
grsbZ5L1H5ty,monte carmelo,MG
ZLVSgLGIBt50,assis,SP
LFLEYmt3mGzI,rio de janeiro,RJ
26bdBz0weg9K,carapicuiba,SP
iWDrWao0rL2O,taubate,SP
6rX0opAYaf5O,santos,SP
WnCydkx96ul3,buenopolis,MG
frNd2yIHhY1X,paranaita,MT
5aMM3LwvZE6p,recife,PE
5nowe7IWIlDi,sao paulo,SP
nOJb8kxjeqMu,caxias do sul,RS
qVYMpdAeuyNn,campinas,SP
9QRPPukPDKtj,betim,MG
ejNZQ7X7x2T3,teresina,PI
Aecwfm7Hmsal,cascavel,PR
tc4f86hhYwpB,salvador,BA
u1gplSGJr1m5,salvador,BA
JOJJwXBnFMcH,curitiba,PR
txfGakDnlUkr,lagoa d'anta,RN
Hv2CJ4UgONx7,betim,MG
aptoeeHlIxbP,ribeirao preto,SP
Df666drgmPfx,paranagua,PR
DRJMerHUON15,matupa,MT
7oijac5SpbW5,guarulhos,SP
N9TistbY5amC,sao jose dos campos,SP
CWALhpNIASHI,carapicuiba,SP
jnoKHCWQzJID,lencois paulista,SP
eKhyaqjCe7PA,campo mourao,PR
0XrxfhxhjXYE,rio de janeiro,RJ
yBX7ugjJOTSS,itumbiara,GO
oCaEiLxD6fHF,sao paulo,SP
I94cAhDO80TM,ferraz de vasconcelos,SP
nyVwdmiDhhG6,belo horizonte,MG
uQoGZ4NfZUsh,conchal,SP
5dFJ3hGKYymc,ipatinga,MG
fvrCaNELssNc,sao paulo,SP
g0UqYq0z41XR,niteroi,RJ
VBhPvelXEBtq,diamantino,MT
TSar8iKGBFdD,niteroi,RJ
YsC9HcNGEOnJ,cabralia paulista,SP
UXwfLujVOTVL,jarinu,SP
sllkB0XGYrxT,taubate,SP
OSFTagz8LUCX,sao paulo,SP
IG0zdwpicn3n,florianopolis,SC
gvNtQarZgOr8,aracaju,SE
YeOwwF3fdWgu,jundiai,SP
HTmirdxNO6w3,niteroi,RJ
ROKLVaGH8de0,duque de caxias,RJ
vqxOoMq59uav,blumenau,SC
RoIfzwKM1yvo,rio de janeiro,RJ
E1orXI8bLrNV,sao paulo,SP
FOHBkie5YOyT,sao luis,MA
e2pbPEjaeR6m,rio de janeiro,RJ
elCsLJhTBJtl,paraty,RJ
rCX2RwzGubEQ,mogi das cruzes,SP
xbIMznITKpTA,conceicao de macabu,RJ
BKYTz5VyeBBd,brasilia,DF
abN6KF4qdL4n,sao bernardo do campo,SP
Azn5ULeYYh8s,santos,SP
78uia3DgAfNK,santa isabel,SP
Py7WXu4L3Wmi,guarulhos,SP
CFLESwh13Z7B,adamantina,SP
SaNj4MhzahVL,salvador,BA
qk3Ys1QXliaP,barueri,SP
4JEusie8wqjJ,limeira,SP
NvTNauiH1qDG,osasco,SP
HFRFmaPKlKMJ,sao goncalo,RJ
KC8GYZZaxJut,sao paulo,SP
1GWMLfIMdj4c,alfenas,MG
MqcXipRNMkYz,vitoria,ES
ILqTIy6lgDe6,campo grande,MS
qok4zm9Soojy,sao paulo,SP
K344NrOcLCky,salvador,BA
Q8Lv1HumoePe,itajai,SC
8Y14XQoJK8Ha,rio de janeiro,RJ
lZxA6yRvTQOj,florianopolis,SC
nodpgJjEkMSi,caratinga,MG
9tBiIII0TOJc,florianopolis,SC
wu4LLpEktWbt,garanhuns,PE
wMofpXKFWSfh,maua,SP
2gkH6jQ35V6r,ribeirao preto,SP
KmfdV8VuGWM8,ariquemes,RO
DZQwRhEhGk0D,diadema,SP
PXqEjREEffav,niteroi,RJ
orIYzq1FFngF,morrinhos,GO
XBdsnwLCiVEB,londrina,PR
XojCouERzFos,goiania,GO
5j1oYFmufbg3,erechim,RS
bF5K2Cy2Z7ti,guaruja,SP
0P8fiFGwbcyB,brasilia,DF
RwArI5y9MN7r,rio de janeiro,RJ
SpZjRYzPDtxp,sao paulo,SP
xe0n3nVehHaT,niteroi,RJ
waMZKYMRuVn2,fernandopolis,SP
GUzQDRVGumYn,sao paulo,SP
qPcKrtMv39Ny,sao paulo,SP
weHkbjfrV556,nova iguacu,RJ
qkLJoaytabZ0,goiania,GO
mpDGFN6xdUn7,carapicuiba,SP
sNJV5Gu55TZU,aparecida de goiania,GO
G9BomGyiASFC,sao paulo,SP
U6mP30pWiUQe,sao paulo,SP
C2neZlovyKdO,goiania,GO
zYGWePUn88Up,alto boa vista,MT
jNtpBPyIRlVh,bombinhas,SC
ZmQxYSc3Pkep,sao paulo,SP
kUuQFMv8ogyX,tubarao,SC
QCRBg1XfOOjC,serra,ES
G1xpdgzhaH2L,fortaleza,CE
jLJ0UsbRochy,guaruja,SP
mdegAh8lW0zh,rio de janeiro,RJ
XHcb3dwn67J0,sao paulo,SP
J8tIqKe7Lwty,sao paulo,SP
tD2qw06fKcBX,maua,SP
jOwLUQxf2vs7,sao bernardo do campo,SP
Aih9DU6s8oyK,anchieta,ES
DAue1YHraRsj,porto alegre,RS
lOWywMERsxp0,rio verde,GO
32bFKHvMMEMv,salinas,MG
pFnZuW57EJTb,macae,RJ
qZiLCVLOzw0L,rio de janeiro,RJ
5ScAfYqpztVr,rio de janeiro,RJ
PkOW7Cbf1rU5,ourinhos,SP
Q9msAR1VvoH1,rio de janeiro,RJ
5S0TZfFeWPJY,cariacica,ES
OU8Z7zF81JnT,jacarei,SP
BDzndD4z9i8L,sao jose dos campos,SP
a6lBUx2AmE65,maringa,PR
lqQQsrkprasJ,fernandopolis,SP
XTOCrs09YhZc,sao miguel do iguacu,PR
it7WXIogmstw,teresopolis,RJ
JOACXMuORdtc,palmeira das missoes,RS
yupMoEFfDnE6,rio de janeiro,RJ
H0nuPXkLsYFV,serra,ES
r9lY5RrZLPkE,sao gotardo,MG
dxaR7zuMZLgv,rosario do sul,RS
baOQZP8fmfKu,rio de janeiro,RJ
q1JW0zZ8t77Z,curitiba,PR
kgaRisbWkR8S,campos dos goytacazes,RJ
AWTTxA4Co08L,sao jose dos campos,SP
LJGTAEWNa0kn,sao sebastiao do alto,RJ
gHIMze7jfJUK,sao paulo,SP
BUGMPRmV0G7u,itueta,MG
qGZel9QhDI8k,pitangueiras,SP
siCyyCHgC5RU,belo jardim,PE
AXZAKk41nNaN,sao paulo,SP
OfMjFMFtGloy,gurupi,TO
m3LhGnVaiRSE,sao paulo,SP
rmFc8ZT8QAFE,rio de janeiro,RJ
FyFlugMB18oj,itanhaem,SP
1HB2U2sb6O4I,vitoria,ES
77lm2vFcJFw7,piracicaba,SP
LdivnAK1VWzF,sao paulo,SP
OKSc9zMvBf3H,sao paulo,SP
YpVY4KIM3kpF,sao joao da barra,RJ
I4ORWasAtn2t,mogi das cruzes,SP
sGbCOPBJBIGl,natal,RN
jV8iADqbmykv,taubate,SP
EgtRXe3XSoXX,sao paulo,SP
vIv7e64Weojr,sao bento do sul,SC
f0McnuJJg7y7,granja,CE
w4gVmc7ZPB7J,jandaia do sul,PR
DxOIWqM5WfD9,rio de janeiro,RJ
niuqvDhsbEh8,porto alegre,RS
wXlHYtczLH4a,belo horizonte,MG
NDyqAszwpmxL,sao paulo,SP
ix0IHcRs0FhV,manaus,AM
KWvYwxFj89oa,franca,SP
vHB4wi1rw7yJ,contagem,MG
SkyzvQhclOjl,porto alegre,RS
eGMfCgBLlg0f,sao paulo,SP
7TsE2duwQ56v,coronel freitas,SC
IcpG2VytJuOz,osasco,SP
CMzWm8HwIEmO,rio de janeiro,RJ
y3TdpB1uofUy,campinas,SP
jR6aMohAuoS4,rio de janeiro,RJ
fhyuZMq5ShwO,sao paulo,SP
0t5EtElaEA8e,sao paulo,SP
cf8KM8v09yFJ,sao paulo,SP
RLR3Jci7EXFZ,curitiba,PR
0ShwdFYw9sTD,marilia,SP
lpnDqjklOzIA,curitiba,PR
asSHqDT749oJ,sao carlos,SP
MhqK5dPuLYq2,curitiba,PR
tvF46j0D02zc,rio de janeiro,RJ
o2XHJSQDVUjH,sao paulo,SP
A2TCBWxtXciV,aracaju,SE
LxPsuAedB4QS,santana,AP
FIE7qnYGWctO,sao paulo,SP
tZilI8V0g1e0,santo andre,SP
kSoHzbViRklm,jequitinhonha,MG
PqmwLFfBnOBx,novo hamburgo,RS
5dXseDWEmiMC,sao paulo,SP
KUQIrn86ttIe,sao paulo,SP
KuWnR59U1FPy,garanhuns,PE
k2pIrgPtCGma,ivoti,RS
yhYEYeGAUIUp,turvelandia,GO
Ct3CALEeBTfd,sao paulo,SP
uYWZFxT8YNW8,sao paulo,SP
uiQXR8amJUZ5,sao goncalo,RJ
J2eUP3qQRX21,cornelio procopio,PR
f5osd5e09qiH,sao paulo,SP
Clcqfbd0dHQy,ibaiti,PR
wogvLVoYwlWu,itajuba,MG
UJAKUaIGlRn3,contagem,MG
JKRYqZKJtJZE,sao paulo,SP
wlZXim18Y5wp,rio de janeiro,RJ
V2yQapEqeiQ6,conselheiro lafaiete,MG
XVlW6vVBrmk6,cabo frio,RJ
fAmGDfYoJrNI,cruz alta,RS
xCiOfWxQ7Btv,aracaju,SE
0EzNwB0wYA0w,andradina,SP
eQaIzzVXvSVe,fortaleza,CE
Eyr64dIilcgM,itanhaem,SP
Nsa1cccryn3Q,laguna,SC
GtjbUb6VvhUd,barra velha,SC
RR1YZ96cZobY,santos,SP
c6jqSw2fKK1m,curitiba,PR
fQp5U82OnxIM,camacari,BA
pV5CMhjRA4BD,lavras,MG
5rqBHhb2Lu0d,diadema,SP
Vbad86A2kO7h,fortaleza,CE
sonYdrcofFIt,salvador,BA
YzjQ1d4ODDkP,sao paulo,SP
MtMtwGLv0AAT,guarapari,ES
cZEYe5ZKG6Ze,rio de janeiro,RJ
WZCFk7SWMFFm,taubate,SP
suzK9f0sEvIi,sao paulo,SP
4Bv5yXlke7qp,santo andre,SP
cNow1DF5YxjX,volta redonda,RJ
3Ll46Tj9RN0q,fortaleza,CE
CuXTYUcBde3A,ilhabela,SP
kpZeu9Hs5XXS,santos,SP
pJbXZRS0sqqS,embu das artes,SP
M0P5DHWYoZPr,itajuba,MG
WJ0q80kQ7mZH,campanha,MG
318n0db79d19,uba,MG
8xqmTu5tWixx,santos,SP
JRAkBW52ylzK,sao paulo,SP
82FOTwe8xDKO,sapucaia do sul,RS
liwpNZL3DOZJ,rio de janeiro,RJ
oyP6xO7xWbXU,rio de janeiro,RJ
7mxhG9PYa0St,santana de parnaiba,SP
7CbZKrOjHS4p,rio de janeiro,RJ
PZ5SLcuCD4Yu,nova lima,MG
xydnwS2B3vnq,belo horizonte,MG
fSoEDQavGSYo,sangao,SC
k4jj7bTV7KmF,perdigao,MG
QlaBWwflyrZE,cariacica,ES
Jzld306kU0gs,indaiatuba,SP
4A1nimyUtrUc,duque de caxias,RJ
XX2dJ9DXoJxM,rio de janeiro,RJ
D4td8E6o42m6,porto alegre,RS
BRLLIQSyAdJL,amparo,SP
foSnpCEnGhUf,jucurutu,RN
P6cZmNiSsPET,sao paulo,SP
ubqgVrx7Q6VP,cotegipe,BA
0N5XKb26IvYY,maringa,PR
zf5qacELJXoq,joao pessoa,PB
lYUoEtPmJ3Ec,teresopolis,RJ
bsKMNBf3TtKo,rio de janeiro,RJ
BQrXeVYPxqjC,bom jesus,PI
Gv4L7KQQIHYo,cachoeiro de itapemirim,ES
zCLkW72kCLsN,sao paulo,SP
NPnOZtUOru3M,rio de janeiro,RJ
u4hRRgVMxNTn,parnaiba,PI
tkakHcVpbwX6,sao paulo,SP
4KLZy11ffOBh,sao paulo,SP
raO6T3ZRgYFO,sao paulo,SP
WIP8NXN0UPhn,guarulhos,SP
bjeelhNkZcyv,belo horizonte,MG
ZVNvIsLUX7Ow,feira de santana,BA
WcVycaMeJ4gS,sao paulo,SP
kzwYrZU61Z4q,santa cruz das palmeiras,SP
G6MX3ES0McR8,porto alegre,RS
mUpYzU9GRF4C,piedade de caratinga,MG
cQuboCzfXNZr,tres coracoes,MG
wzKCnrsGrhPT,serra,ES
J12B3ZAghOYC,novo oriente,CE
iVkQDCNUtDjj,sao jose,SC
UE4JY3IxQWBi,rio de janeiro,RJ
Ne3XkcBUVu8b,rio de janeiro,RJ
4GshpMTgfphC,joao pessoa,PB
MCJjhEvGihoi,barra do pirai,RJ
Qq0Ot1OJIGWr,mariapolis,SP
JOfDxyqX9fkr,goiania,GO
pl1k9l5U9S8e,jundiai,SP
PSsOpTjyt9Wi,sao paulo,SP
RIwtPliUhQqd,rio do antonio,BA
krPjYIHB5zZO,sao paulo,SP
jKjvNEBa2aca,piracicaba,SP
92M1ZSNwBu4x,sao paulo,SP
Sv2DgoaKSvpO,rio de janeiro,RJ
w6vMShfahXuV,ji-parana,RO
4dXpFDzeEjZN,sao paulo,SP
8dkyClEJJOYa,sao luis,MA
DdZ29jlHHmyY,janauba,MG
YPU900q1t2YI,curitiba,PR
pHOHna6m77aV,carapicuiba,SP
L02EQ9VH35mB,lajeado,RS
sq0rbPHjliJf,valenca,RJ
JQKGVe0QMCMH,sorocaba,SP
BtHimucWMyxR,niteroi,RJ
SGhJNvVg9Xi0,santos,SP
KYzOqTmXicFK,diamantina,MG
v0LHJSIsjfmf,americana,SP
ETxNSyUi9shg,sao paulo,SP
pYxdTfdytZ2g,linhares,ES
ynxUzbdIr3w3,sao paulo,SP
lJEOyEyJeAQ3,porto alegre,RS
rxjKzexaNB9k,florianopolis,SC
Hnvi7ZKd3ViY,itatiba,SP
E5gUJ12UZIcN,sao paulo,SP
Ms31JGlld0AB,pedro leopoldo,MG
qVQXahZZS0J5,rio de janeiro,RJ
lT6im48NY8vz,niteroi,RJ
q2FJe6vCRDrC,itacare,BA
XtOyBmJp0LUi,cocal do sul,SC
JpUSpyQNnUFU,uberlandia,MG
x4edkJFvuVsU,florianopolis,SC
KWppLJ3KkTqt,guarulhos,SP
hi55tQkf1YUb,salvador,BA
GyvnEFzj1eSn,piracicaba,SP
8H9DOt7c6rdA,juiz de fora,MG
gfqX2v3f4RPq,sorocaba,SP
BW8Lo9R5OCBF,itabira,MG
juTccWeP0t36,coribe,BA
yZHCoK29gkLY,sao paulo,SP
1ZcxU7AQGZ9F,feira de santana,BA
lhqcordf2lwr,cosmopolis,SP
yBkaZti5rtw3,sao paulo,SP
uWLhlCUxUAvB,maua,SP
HrmPH3YugHtK,sao paulo,SP
mrR5h0AEdYi6,para de minas,MG
ngktKR1wEcBm,ponta grossa,PR
tiR8d0Kh5Jc6,recife,PE
fa3w4QbR495z,florianopolis,SC
3p6GlBbXYyIE,suzano,SP
g3Zqo0PFbDqc,araras,SP
BDA2JVxE7ftl,belo horizonte,MG
ydAOeYfFxXaF,jardim olinda,PR
T1Wpepr3o18t,limeira,SP
WVv4miDDo0eX,brasilia,DF
bNeRqMLIiSra,bauru,SP
4OtrRICCPJjt,conselheiro lafaiete,MG
3V9lD01x1gJn,lima duarte,MG
ra74PYXYSXiJ,sao paulo,SP
lFYmOcPHaoiu,petropolis,RJ
v1l7AIjVmt79,sao bernardo do campo,SP
9sOKJY1Egnyx,birigui,SP
iFx9nhKebrl7,santana do paraiso,MG
KRONM1dA2lfQ,sao paulo,SP
tiLtxv9qmhyC,brasilia,DF
8pUqAdsQsQDb,nova iguacu,RJ
CeEUh3SwQawM,sao paulo,SP
jqeaDO2nRwyL,arcos,MG
DpynHQ1oNPfb,manaus,AM
5vFPmIruPRJV,sao paulo,SP
fGsOxoES4mx7,curitiba,PR
sS1MpZqBZKal,sao paulo,SP
v0XDhQrmh7fF,candido mota,SP
bh2cF3JmJ2t9,andradas,MG
pxR8dmNDPHII,mogi-guacu,SP
0dwG62wm5EXo,diadema,SP
1CTHWhRh08q8,oeiras do para,PA
kg6PjPxXjsla,rio de janeiro,RJ
fHVbWHVvFvAg,araripina,PE
OQzGE68TCNmT,silvianopolis,MG
1oRENXkJlZ0G,nanuque,MG
8X4EckRWNgrC,resende,RJ
DWCmlJ4EG7eX,sorocaba,SP
dZXNFWBztPxm,protasio alves,RS
N3XOyO3yG21M,rio de janeiro,RJ
doLbnMg9cgdX,brumadinho,MG
uriYakkXSNmi,sao paulo,SP
XFiJljumZ7uq,maua,SP
cLLRJbaB1mhj,sorocaba,SP
oiZmh73uiGwS,sao bernardo do campo,SP
IgyJvK5gR6SR,barretos,SP
leBInh5r93HN,apucarana,PR
0cEBYWKAAChg,sao paulo,SP
xtxu1WMCyvol,taiacu,SP
vCkuMzqO4rmZ,pelotas,RS
bwZy8EyKyv9S,araraquara,SP
Y9DZ5DNyxciy,osasco,SP
qxtN5VZfpUq3,araraquara,SP
C3kJ70a7fjuS,itaguai,RJ
0IPkaXGxHl5E,sao paulo,SP
rgTkHUdooQPh,guaratuba,PR
RJBqpyAkOebP,duque de caxias,RJ
8ezHf93Uw3G7,boa esperanca,MG
Hw7J9UEM7dXT,itanhaem,SP
PJpmhdRKHSg5,cuiaba,MT
UaLWJGLgQC3f,rio de janeiro,RJ
5MyD7VKiGpIv,sao paulo,SP
9fjwetymLYMt,juiz de fora,MG
1fJkF55M3PPZ,itaquaquecetuba,SP
PiJQSSWWQHbm,nova prata,RS
iXz5d6LpMj4Y,veranopolis,RS
CFrkanFG5hxx,sao paulo,SP
wBra6P86wElz,rio de janeiro,RJ
KBOMyZ6VTKz3,vila velha,ES
zIuFaia96Pe8,itajuba,MG
TTzoSo8JSsaL,sao paulo,SP
OYQsIqnpDCaS,rio de janeiro,RJ
TKqDg6UoaInj,vassouras,RJ
bCMOZAGYGOWt,santa maria,RS
UhCrOwInZQlf,guarulhos,SP
U109zXgPrpe7,inimutaba,MG
LFkJg38YqEDZ,pesqueira,PE
wFK1Lopl99Ne,barra bonita,SP
VcipCglKV2o4,duque de caxias,RJ
OZwDTHk8UM6T,piranguinho,MG
gQdWOmsfecTO,sao paulo,SP
aD1XMSmFY1vY,sao luis,MA
uSCevHJlrO8i,sao joao de meriti,RJ
wY6AtOwM7wGD,campos novos,SC
yoriLjir2D3d,sao paulo,SP
Xut3FvRmZXLN,cruz alta,RS
3zq9ANqpHGHe,curitiba,PR
z89ozaKkDtmV,fernando prestes,SP
O1hfvrqNcNCL,araruama,RJ
mEDt9a4BBKAe,hortolandia,SP
ZlqRS91Sx3AW,rio de janeiro,RJ
NfUJUoFeIoIR,florida paulista,SP
lRq4L8YCPlRH,americo brasiliense,SP
P0Z8DjVJj18E,sao paulo,SP
hHNn2jitgakw,porto velho,RO
AjA643YSt4QM,barueri,SP
f1VBybG7mc8B,jaguaruana,CE
OihNvx7IAT4w,sao jose dos campos,SP
SopWM0hfN6qC,mogi das cruzes,SP
xmJscz0hC9vj,aguas belas,PE
kjxp6KAhtIrb,sao paulo,SP
ruWpsuNc4lhp,angra dos reis,RJ
3D0cJDQIYfnY,sao paulo,SP
tqQeBCozqW9g,para de minas,MG
9OTVLUcI3AW4,niteroi,RJ
IgFTw1gGD2PM,montanha,ES
PhLqU5Zzqrc4,sao bernardo do campo,SP
AskeGgEhJilz,vitoria da conquista,BA
olMfe4iTUkGW,florianopolis,SC
OHVueTfeofEz,jaboatao dos guararapes,PE
9qJlHyw6biJC,resende,RJ
9HC2BqZ8O7Gy,rio de janeiro,RJ
VJKW5atVoMtb,brumado,BA
GMz9WKA2YsqR,feira de santana,BA
6yACOjTbPbC3,contagem,MG
hSuXHICxtGvr,brasilia,DF
UUnWaaODdN1g,varzea paulista,SP
gjhOKZD0F5iO,sao paulo,SP
YO4u5XyXFWQs,quatituba,MG
8BABx62jJ0n3,sao paulo,SP
N9NZZLorNdyE,criciuma,SC
VQ0Pkm1zSRFF,rio de janeiro,RJ
7YqEuWtb6F0G,ribeirao preto,SP
A045cjRRI0Kv,jundiai,SP
2WeRLpDdPyqu,sao paulo,SP
FlKjGbZk7ZYr,salvador,BA
MLaGQ4tVPTpk,novo hamburgo,RS
quvutbefzFWu,gravatai,RS
pQ3sUmtk40Zy,sao paulo,SP
hED94wRtFlYA,forquilhinha,SC
WGRkXTEm8Xj5,cacapava,SP
d1UPmBLHWh6G,sao carlos,SP
5wASJanXd9Zn,limeira,SP
45W1h821N0nl,sao paulo,SP
lsZGJmS41mCu,sao paulo,SP
1W6oeCzdIONu,garopaba,SC
W7XpQ5aqzrip,guararema,SP
P8TetD0XWQus,sao paulo,SP
eYPiYmHZQccA,belo horizonte,MG
7KjdZT0PG0Ks,piracicaba,SP
L0o9iw9y5MlU,recife,PE
cFrGmXyMPF9R,sao paulo,SP
qKwKHRKPGiZj,duque de caxias,RJ
kilBkiCdUnem,campina grande,PB
yQgunhiaufL9,rio de janeiro,RJ
FR2elKVnKHld,alegre,ES
1fZWh4UiysC5,jaboatao dos guararapes,PE
YpE0AtdbuQ1S,niteroi,RJ
dxvXuP8LISdi,barao de cocais,MG
G4ZM9Ac8Qbm6,paranavai,PR
chXzj02yc00n,barretos,SP
a84zfPtNB996,indaiatuba,SP
IU4TvlloI5MV,brasilia,DF
YmiS5Nxba7K8,santa rosa de viterbo,SP
7ofQy5P5ZfTe,hortolandia,SP
mbaTkec0ICIO,rio bananal,ES
rQm57IXSie35,cristalia,MG
mYpv36kYJ9jc,rio de janeiro,RJ
jlWd6NeMqw1j,hortolandia,SP
3y2edxqfHTbr,rio de janeiro,RJ
rrZedImywQMG,atibaia,SP
0RuElIt5nlY9,brasilia,DF
DTjNrt0tmpIf,caldas novas,GO
mUGCSHLNGBpC,porto alegre,RS
BROM4JHv5Kjz,mogi das cruzes,SP
D7fi76Tmbop1,pato branco,PR
cWWVTzyGIZ0g,curitiba,PR
uGn81rIzM78b,volta redonda,RJ
ijVbcdYmK996,cotia,SP
n46AKx3MlsyS,rio de janeiro,RJ
LaGBMNe3W1ij,sao paulo,SP
RjVmrC4IIKZE,sao jose dos campos,SP
4uhvikC4XLsm,sao paulo,SP
iUxcpfo25UNY,florianopolis,SC
D3tr8r1xH2Kg,pedro leopoldo,MG
Np6X4JLmDMET,cambe,PR
nWgraqerDA8e,itajai,SC
l2laOBQi5HmP,mage,RJ
qlQX6HkI03Fz,curitiba,PR
6o3ym7SUIfqQ,sao jose dos campos,SP
TD2FsG6iCiKK,pombal,PB
IdHvttL2ATIt,sao paulo,SP
