order_id,product_id,seller_id,price,shipping_charges,total_item_value
C21fWds5zL0W,MeFPAUcWfyAo,5Ja2lH0N2OZt,68.99,27.8,96.78999999999999
00NEIdaOTIgn,Mh5csf65CB6I,UOGIrJtSldvd,223.87,31.01,254.88
XprtHqpLEddw,hfEa3c65LTA2,0Mzbc3aACMOQ,55.83,3.45,59.28
ph9ImXx6aMjl,Pb29t2XBfP6Q,2a07LobkzHUx,176.97,35.87,212.84
x0fzGpICAZ0w,th6S1t44GAij,B025lNndXwWx,231.27,82.44,313.71000000000004
YUX432Je58GK,fUSMr8Wo77AI,l1pYW6GBnPMr,820.05,133.37,953.42
C3u0OwYQ8nuP,qI5i1mUxo5tX,EGpv4plsYpt1,3.5,2.46,5.96
UaZKqhLFwRZP,AQRgJU930yvK,TAkMUTMwlNUw,26.86,140.4,167.26
QOaNjVewOOTX,VCOwCoc0C3aj,BUqNP64b1AeL,111.27,49.55,160.82
lo8oje94TYb7,f21OMkeWX2ZC,ozjiHoSKwUks,79.49,51.91,131.39999999999998
O5bLel2qV1yT,mKDM0qdFnNNd,xbr8ZnHWrWgb,189.98,36.97,226.95
3ffaVBUrnCxy,aZ1aneUqyncU,XLxN4hdOlYco,475.0,50.28,525.28
8g4jF6hPD6tG,ch26pynh9FL6,AHG0TE6bRNNY,31.77,23.6,55.370000000000005
IBT786JmVIAa,eTlPil30tvIn,3cqSxyYyqpx6,188.8,22.11,210.91000000000003
Rd6Tke4v8afv,DXG0TFaZjGHO,V8Stg8HdXCTe,403.9,49.72,453.62
NnoGZNF5rNkD,htOWZMHmysDe,9OW1ODEpHxLL,125.46,13.81,139.26999999999998
gZMKyNzWXvcQ,GJ4e2xEfaCmh,oI8R7WsNWWBc,31.0,5.59,36.59
qcDbJ8F0FIjM,EZlH1lJVfFqj,CQsufpmy1WxU,1332.5,6.58,1339.08
hyJjgFRI44lc,zTW2bowvLdj9,zyhKQqd3kGqW,129.46,6.87,136.33
EfyYNfniuxQP,VO111AOA1QIP,ElULPWS11hxk,161.0,47.55,208.55
0MQGlO2eQrNG,mfq8n5MEY4eP,XoReeOEjvEuw,770.0,67.11,837.11
zb8Qfa2K9ynp,TdryLJINHQ9O,dQCmV6mcOXGX,109.82,55.54,165.35999999999999
LLWFihCYlP6a,B2udqVNGe7sU,AHG0TE6bRNNY,148.5,27.36,175.86
PBvPGqQxwFDV,IsLB3oNMsX7k,K0qPVGdA91KO,31.99,38.26,70.25
OQHE8Ve7n811,7IfEqKdKlG9j,16pMg4KJ3hIj,87.9,47.55,135.45
Vtkwb0b4JxKg,YG7qG1MQlhjp,3t74Pe6EQyNu,206.57,29.68,236.25
4qLswBjaDZnT,nS95HUh6SK36,2a07LobkzHUx,98.62,54.64,153.26
XXzZNogGt47r,cT3PvVNqyIpQ,vmUdCiLPoz75,1122.0,20.79,1142.79
Pp9bMvTIgPDs,hoBYqNvOyd5V,lAnSOSAjk3Uz,368.9,63.39,432.28999999999996
zh6skhlWLDTv,2oRZ0O0Cvxg1,cjilIa8d2RUG,10.6,50.43,61.03
z9Zr742C0ASe,UjLE7WsWfgrO,Fh5z5uvA4neX,218.98,6.87,225.85
AayA35wXEdbB,nvbYOXncMsv0,uhfmBPCbZg6B,139.79,47.82,187.60999999999999
kuyUMcYHFGqn,5WcLgWtO04vH,ruq0u2ZpAMDr,403.9,15.77,419.66999999999996
efc3TQanhsCE,jyqvHPkDKFDV,DHOPtCppeECW,41.1,47.55,88.65
vFUriN4pz2Bi,4BAZNq7FQZOV,oqejBC0typqo,198.5,76.76,275.26
1CVQ66HlMRUR,G16XPtJuiBOe,nOpV5DDruGvj,17.91,32.34,50.25
jJgDALmwe6f6,tfJojxEnA32p,ZsDn106jXrgr,8.8,70.17,78.97
n8p0M8Vco4SQ,5hqQbR7p5r2D,oGYw3FCx0i23,43.21,121.95,165.16
pNSYSUcXxkhB,97fSQlZJl4P8,n3xQr5wHpHRX,24.79,13.92,38.71
9AWAHq3HWS6u,mwlDII1pL31s,p7zV0UTQOu6w,184.9,52.37,237.27
DlmtCXqKjfWj,N9wgqW59QGza,vxQT8FlJeDdN,80.75,12.86,93.61
KqH0sXMHdItQ,n3QjhUa3JbkT,TJ6FVACdM0WN,509.0,30.66,539.66
OiIetUyiPLHG,fJOMyLSpholI,ruq0u2ZpAMDr,127.77,37.87,165.64
1pgvtCG93rNg,DMB6KqQisnZE,aeWbd3M28ShO,148.5,67.48,215.98000000000002
qJHIiWyTAizV,0vbEvli2JYJu,RKad98cTxhSb,95.03,57.81,152.84
vSug5AqRo9gE,xl7fxh09W8xU,HQ4j3Fr6B61e,310.99,63.17,374.16
cuAQQZUhTEwb,bumRSmIPLuYa,kiirS0of7bJI,513.99,46.67,560.66
yYk586LcCRYw,Hh61P9XhdxJT,zhKBSmYNDuJd,21.74,8.31,30.049999999999997
2HQ26ShSPhCA,jcZ2MOqKsGsh,60CZvBJuXsud,136.9,24.78,161.68
iWJeaLiduq7C,OEoHcaKHbdiB,SdNJoEI8fcgb,168.1,31.97,200.07
1vz8w7BjKsWC,Ggd3U51peXoq,8cMMpAAFEsxE,15.89,50.28,66.17
h8KEpd8n4gLL,etUc3o0rjL6e,qeM9i4J3ypy2,849.5,139.18,988.6800000000001
PC71lF6z451l,lFGT2p3CDtxY,luzDO2kXE6wp,49.97,38.82,88.78999999999999
TySAT9hqufKc,daiqbsoofbQ7,EZcvC15JiPPz,98.6,12.28,110.88
Y72RuFd0mZnO,dAz11YkQkoue,TuPm19CMKvrM,59.21,32.34,91.55000000000001
JQnDQBQZYwWs,KocIrz6J906g,OOPkZSte8kf6,223.51,67.53,291.03999999999996
qcXjhr3DZYmI,xj8TsBOfCz2Q,DAXcLJj7W7BQ,453.7,47.55,501.25
3SQKKPbTrStx,LEtlZnZPgiXx,3jwvL6ihC45G,24.1,32.34,56.440000000000005
IKSlI8m4cXvg,dtkkSAYxncfA,dwcf0d2KopFX,42.95,12.28,55.230000000000004
ubzoVELLkeoU,WLCpnwy0jsjj,K0qPVGdA91KO,475.6,17.03,492.63
FfjA9YfQ045p,qjquOwfUstem,ErNdnCxofJMU,145.69,61.32,207.01
pHtHYRoip8Cl,gdZxFB7RkmeM,wieAWPlzjuX4,699.9,47.55,747.4499999999999
yGQcdep9edOe,RO8Eso0VLlkB,CdW7Qr5M6GEr,274.49,29.34,303.83
O2vxSz1Ohmit,GvBzGCvvIC2D,v4i9GZGfxgTZ,679.0,29.06,708.06
CEHnEFl5VOdj,BuMA9g0RCLlr,TBkUw9PKrND5,78.8,20.25,99.05
JYzOn3Ha1rNQ,K9inDFpRP1Y5,nQlmkVGs3xYh,28.82,63.11,91.93
YjpdVhpi6ke5,sZPDopwjwXU1,T5TAziawiIyq,2799.65,56.27,2855.92
xmCgQrZviQ4N,PNxV7rsy2fgg,73jr4z4JJLzT,509.99,17.39,527.38
DWf9VC5hYd07,XtWT6gLIlj7Q,2IxTbqKqgUdA,43.48,99.34,142.82
gMRkjz3CrUnd,Mb037GbMfoRI,V3iKL8r9W9NR,34.72,67.11,101.83
1sBsJeYdxAI1,LP9yzvAzxDXy,hmS6KkvxMbyF,399.2,38.66,437.86
6NKIoWu3AOZS,KDNXKv9s2evT,A7s2wiNKJ3HW,16.89,21.91,38.8
fQ58lYglAHz2,axLBYi1XjP6J,oI8R7WsNWWBc,50.21,5.59,55.8
0Eab4qSWCSyh,YWxNxMu4wOKG,YVBAT3QqF9Qj,13.1,19.16,32.26
RCsCygUAyk50,bdZMcl4443hh,nyvgAgymNBCt,328.0,161.82,489.82
POj27FIujdqj,Djdj2b2qMgNy,OnC6iPAbNc8Z,335.99,7.42,343.41
lTxzZyJHvbIZ,4VIws8ixtz0J,8cMMpAAFEsxE,144.97,47.55,192.51999999999998
PbW1A2IELHIL,63xWgMAWpCUv,evGTHuQm4wMZ,31.5,24.99,56.489999999999995
RYBegQzM81NV,5zjlm4wGGKnH,ItYhqrkUww7D,57.6,77.45,135.05
uIMjdIbbLKuf,ZXaWnDtFtm16,QfFj9NCYpfLN,31.0,150.8,181.8
jj4qFCWCsUSC,iqxjLw041Ngo,KERtsZxD9Phy,1298.99,30.66,1329.65
JBctb1NlmsLO,77YHWauoWSee,oqejBC0typqo,27.8,31.18,58.980000000000004
V98wyh8HaJrC,u7VrCV0J3rFD,bd8RhBYu7arp,16.2,0.61,16.81
F7SlozxlB98i,i8rOWNVCU8SG,X5fhqRmuvQ9Z,579.75,48.82,628.57
M9UeVfUqd5IQ,s284eb92Zw1i,UmQttOWjmUMt,95.03,125.84,220.87
XfRzUdQ4vXDb,GrFFq2mwLHY2,vufOqLeaCfeU,38.48,32.34,70.82
KZdbnccspG6C,CdlzSJX6L7SM,V3iKL8r9W9NR,127.77,42.05,169.82
aK8BUDSAUnAJ,M6dHMMDQkzl9,pgzEZp7qYHHI,34.0,58.28,92.28
hdpKYesvGZeq,HsY2B64ToEjd,qc8HaReZKfQJ,54.16,38.82,92.97999999999999
5jALvFXzAkdi,8EMcxO7AFhVP,vlLUp3U56e8x,150.82,24.81,175.63
RilBPuEjhaeQ,vTrdy4RV0PS5,R7nUkxgwW9FO,114.89,132.15,247.04000000000002
Weun8cqlOfrB,Fn43rroPPaVv,JZPhFrxpqDgz,60.09,80.34,140.43
1By8LOosrvF2,IiPypLNFQJ7z,BiC0o6ItMJLl,66.96,104.16,171.12
8XJCljLJRlic,HhAtKukEU7VT,UOGIrJtSldvd,104.4,126.47,230.87
gQPaVIZUm0jj,KnGbtqqEcmat,yHsOFiqVrV1u,42.89,47.55,90.44
k2K9LcU3wvcQ,wEXYeIBMtNpz,7qJpsaaCZOk2,160.75,52.93,213.68
XQuhwBeGcadT,eJ0WKujR01gm,Cyl6PGvB25KG,56.89,7.54,64.43
LARRQkCjz5Fs,JyBhiUYADnbo,V8Stg8HdXCTe,395.6,32.34,427.94000000000005
70G4cTVwm38h,lpU3XJCPa54J,nt1w9AssyxfU,78.73,34.24,112.97
8LfYKHvDTqIN,k1G4RHt3R7Nk,K0qPVGdA91KO,1589.0,32.95,1621.95
D2X7rxN9EsBw,hXJzBtpOKuuU,DhnYfWO3PJ5F,40.8,18.46,59.26
HOFJukOFU41j,Vb1H62ttvRIQ,9T57uT5NnFAO,123.49,17.5,140.99
uApWp6b4k8Y5,1zUdSj6NFG6K,UOGIrJtSldvd,24.79,12.86,37.65
7L8qUUgsbhXY,5OJOlHuoPBnC,l7dKfvHZDuWA,188.8,51.05,239.85000000000002
PvRgo7CeEN4f,Joe8cEWyRSL5,EqPcJSwcfSMn,42.15,46.4,88.55
aDxB5SgA7C4q,vkx2x9k5aIEp,yHsOFiqVrV1u,34.0,3.24,37.24
AHI2VGgmwKwA,PdQSW0L6zcA8,JewlcaWRwb2n,116.11,27.57,143.68
0gxtU32XLhDR,t3Yt7rB0Siv5,0pPOelafmUDD,349.9,2.58,352.47999999999996
NqkFWmoEkOni,6qDx55OCUjhU,uWD9LoTnGKSE,475.0,42.92,517.92
uT2NLXe4uIbX,Mc3HVfMW32MH,DAXcLJj7W7BQ,36.5,47.55,84.05
csNKQHT4LjSP,h2L3kgHs7Aaa,XePbD5Ocm6Yk,22.3,15.81,38.11
ff6LV2J7cd1m,dshaRMcCMDlF,IfkTaAAVww4a,97.44,10.85,108.28999999999999
2DhVqmEuKWsy,kYkawOSYkfjo,3FRwW3adXzn7,517.65,25.28,542.93
VBLoTukvL7qH,IygrTULmkPjL,3FRwW3adXzn7,2799.65,127.41,2927.06
Xz9xN4y9ehaz,Y6z2ccr6ILTJ,g6AdzghqF6DD,40.5,41.85,82.35
ME2UeeIZeHQQ,CIzjmmwLZi9E,XbKPeGD7lJ5P,41.58,12.22,53.8
Y8qzXFVs2NdT,0GII09WWgwUY,Cyl6PGvB25KG,132.9,60.07,192.97
O9usX12ihwJ4,UGsLZX3s5mEt,Fh5z5uvA4neX,41.7,17.38,59.08
UnPOaR1OCnNc,W0BmO3Zth0WP,2jTASjIU2rIf,265.9,67.11,333.01
BERp5cg4oEws,m2BXGAfmaOtK,k6Ksam5fmXKf,28.82,23.17,51.99
BtFtgxewQU3o,HheG19aBYVwJ,yGbPyLPc8PmT,1899.0,12.28,1911.28
KZQpsmctCSfS,oszo5WkcF9hR,EhsTzampIuzr,1129.34,16.36,1145.6999999999998
g9qI3z1YAvNw,d0gLt5qG6suy,WPmASwhpqDlG,453.7,150.8,604.5
aMzeNC1KCVOQ,ocSuycYd5FzD,NFarHrNhIIbP,367.0,14.65,381.65
dZuZBawSN57o,UtRbLGZqWe6T,Hvqvzx84Y4bC,199.96,35.85,235.81
nKbHlRgVGlF3,4lnnpEh9Lojy,VJ5Szmsf2dUQ,1129.34,44.33,1173.6699999999998
P09ArFA0BZRP,1Shu25hw8jmU,eOhcPgdVKUYw,399.2,47.55,446.75
XbYUfEsyagnN,G16XPtJuiBOe,nOpV5DDruGvj,17.91,32.34,50.25
mofZTSTPPWxE,qtlBf0tnYibE,vJf4Jmjx31y3,21.94,47.55,69.49
rUQbmLj5M2QE,2m67LSn6k958,AvTLykupHOIB,97.44,70.82,168.26
QFwMop3sFZ9H,gkFvRSioMfLT,zPSCpHFnSfys,126.69,20.9,147.59
hYDthrOpadOc,qAJdy2rvA6Nv,KH9VVC2iPaCb,42.89,47.55,90.44
TTBF9yOgN5EH,6iped3gcNaVR,CmIOujRnGWTM,729.99,70.34,800.33
F9i3hpJUc5HJ,vBG3fdRC0U7J,nQlmkVGs3xYh,395.6,11.33,406.93
PzBniksLzOcM,6gc28NXmxjiC,DQDmbEDffCF1,27.64,61.32,88.96000000000001
UWss0GYyCTJq,Sd2c5zg8xeYS,V5WynwQkZECV,303.45,42.76,346.21
9fJpRKgzGYmY,TznsJjXJH6cK,i4BuPduAnCgp,128.99,75.5,204.49
FyxzH1mhMBKM,aj4kbcxNEnZj,K0qPVGdA91KO,178.0,96.55,274.55
91fTReRt3k2s,yC8GTlBDlTbh,RKad98cTxhSb,46.2,6.87,53.07
4BKIy9ysy6d8,x3MYuCDmKXil,3vJjXqgh2x7U,1122.0,29.36,1151.36
EztPEldn1Aha,PNlm9wyElFNa,RKad98cTxhSb,193.25,68.39,261.64
4WCFUeAivvDG,U12L66pFn1Cd,ruq0u2ZpAMDr,128.99,12.59,141.58
3VPXNauA1hA6,T02sruZBYwTh,AvTLykupHOIB,97.44,30.66,128.1
jMFLFVfabNrH,tB2oGrkUn3T5,b2InQWWq6Kwc,128.99,66.44,195.43
PhYGGGCiQHKD,nTdYWC9EsMzL,YlP5976VHgAM,145.95,12.28,158.23
RNy2CkQv9QO4,SLTlrWtcYt1m,r7VxefoTVHbb,2899.0,41.41,2940.41
RAhrqqxcXgA5,GvBzGCvvIC2D,v4i9GZGfxgTZ,777.0,23.17,800.17
lFLPAbeUgKTV,tyfmRC7KLE75,kJEFisr2CqPX,23.1,31.04,54.14
P6bxg4N8Cw1J,frPceaQ1oVol,2a51UHcJkdrn,836.99,70.34,907.33
YykeWYFjVZYE,SGzn0iArTwMr,pgzEZp7qYHHI,517.65,47.81,565.46
dHuy4so1fO7s,9Zkcb7CHJ7oF,HPuxRyj1uNUP,517.65,38.18,555.8299999999999
bIVFvWVIw4jq,QQh3add5yA42,8cMMpAAFEsxE,97.07,13.25,110.32
tflNP98YJXRM,Y3eayqO8aOXQ,ruq0u2ZpAMDr,150.82,29.31,180.13
iThcgEagJGvM,Frot5FLjBR6q,SgeUigb5Vbiv,122.3,29.21,151.51
MnaiNSJ6870y,Q4YJxJB0FmME,nVtBfuY353m5,755.99,31.1,787.09
pvWUa3UvgInr,nleYDnRljyRR,hJJrlnX2dOy7,403.9,25.29,429.19
39TPZFziHhP2,ZahOFsDsu0qC,EfrTKO2PD11W,113.49,17.07,130.56
afDRwL1WXpA1,a4eRSJHIpAKf,AvTLykupHOIB,97.05,30.66,127.71
QBEax8koxs19,xczz8pBAGbiX,7nCOghlVSEPV,399.2,20.9,420.09999999999997
CtAfWF8UkMCP,yNiC4LvaTd1R,xeWVu6d99qTQ,164.98,54.99,219.97
V4JFkZwCu5hF,sDiRdnCZMwRY,cUn7dujqBetE,564.99,38.66,603.65
qwPG85b508Td,Hqi3PlXungqO,CJEiRDPhUtti,190.06,15.18,205.24
pLnMJMmel09E,nPKBktJfW1Fl,f9tu6ULae8aj,399.2,47.55,446.75
7PvMPzzIkey5,PwoiOjyJfSJK,ruq0u2ZpAMDr,403.9,30.24,434.14
yWHy7JXGvc0Z,EsjZXaqqL5SG,oGYw3FCx0i23,389.89,15.67,405.56
GKjyAxdPwdIc,pIsDRb4xbzyD,GwHrbZ3UqSSL,72.4,82.01,154.41000000000003
SZIajujwn1Oo,YwgHNvscHjW0,mFvZj7UmZKhl,300.0,34.71,334.71
KL9BlcRxTqHu,i10BtlKMkpvy,7KovPWNcMm5O,29.01,41.73,70.74
PULq31I4UKo4,JWWerUz4sUOi,TKLLXSshsm0b,269.45,46.26,315.71
Y0bGpsoT1Vhh,8IhgV2nH9kXE,HaUIinFOemaU,17.95,33.25,51.2
7LgpFGaazYyl,RIeB1nlwkWYV,TS138RFieWKn,459.0,21.29,480.29
88cwXsdwdeEH,S5shnnygPs0S,ZNVgXvCvMqkS,257.6,61.32,318.92
r7702612Pdfh,GntEBdL0e4AR,wHLrHzu1U5IX,170.7,9.54,180.23999999999998
JhSAOXXtYcdN,8o27iVPsjrvn,zgxmymXtWiKO,98.6,59.0,157.6
lq2t00ICp3Em,sZ5wMb8HMu6M,I4ffj2osK42R,257.6,34.33,291.93
6nNyBTWOOOFA,KbN9lsh9uJef,QZGYZHmzukoV,12.02,47.55,59.56999999999999
15IH5WU11wIZ,pG4lRZB6FT1o,9fFFM6RBxCkT,18.38,18.88,37.26
ouRLjr6NSysJ,6kzsO3fAg0UT,2jTASjIU2rIf,75.25,12.0,87.25
yDLykPwUGtqM,Ffe8gTdmyO3U,4cJY064rRFhL,107.63,31.94,139.57
GHfebQ8QpH8l,uXqtt8FPcOSE,FhUPbC0FEzRW,155.4,11.84,167.24
7XvMI5cx5mU0,PWl2yBtu82h0,TuPm19CMKvrM,117.56,61.32,178.88
XDE3dFQJPztt,P7YmM1JrfxgO,eV7Woul7454D,149.91,39.61,189.51999999999998
dix4hRLqxcfL,MnU1humwDAEV,ruq0u2ZpAMDr,142.14,19.02,161.16
4W3f1ahNdmTs,ij9mTh09IZhj,2a07LobkzHUx,86.4,16.78,103.18
xljf54RoX9JP,IxSYqX7LMxEm,XPkCncVxF7So,132.7,94.09,226.79
2rs8IUIAS4rL,TKNiFZxm7gs7,yGbPyLPc8PmT,113.49,40.15,153.64
B8V4EaW2eSh0,fXpxCuz3DlnE,COsMF55fuZCX,68.9,33.22,102.12
FwheKtHhpBN2,VrCYTXjnNAL1,ftbUjJ6Gsazg,95.03,39.84,134.87
tPTCcbVjRfc3,VBy6T8nuWyMy,tjn9TXOjEGlU,419.9,6.87,426.77
TGt9bWN79Nqz,KOdBiBN6BdOW,xbr8ZnHWrWgb,98.9,45.85,144.75
qJjvfYu6Y4fm,B8QmdTHBBm2r,ARNPJQjYTDDb,509.99,55.54,565.53
JT0oXIkh4Gzh,JXxZvMEQwVdy,ww2Z1B2PFAzV,475.0,47.55,522.55
yr2H21aRoD3h,GKdOuHdQrcS9,2cg7E5j1pzxq,453.7,17.38,471.08
3kStl9hl8CfT,pZaSE0Kq83mh,2a07LobkzHUx,174.47,21.69,196.16
HG9ftAgQxhF4,fF0aIgV1Szz2,cdFuckm1t0Np,1375.0,49.54,1424.54
sm0ZEnWNt7qQ,Dpy0ivGUIZbf,A7s2wiNKJ3HW,49.13,70.82,119.94999999999999
KuKfiKKJLTwK,mLW3e88htVUA,RahwCaIfXjEq,18.04,38.35,56.39
0JDo7VjW8fwo,W11EKjDhLU8S,A7s2wiNKJ3HW,889.99,23.6,913.59
07amSeyheu9N,oUaq0Emczjrp,AHG0TE6bRNNY,5.99,78.84,84.83
0HR2Bu3Sp4gp,ilTOySUJeryQ,i2VPd2aaDnzs,18.04,45.95,63.99
3BfkNOSXE9fK,cPxHctjb1mwb,luzDO2kXE6wp,113.49,76.73,190.22
5WmmehR17vqk,MCpcB88Db8FO,RKad98cTxhSb,311.95,68.99,380.94
GRirh1b2z6Y3,VyvqSoUrvQ46,EqPcJSwcfSMn,57.6,64.55,122.15
67qinzyPqskj,5p34yHlx2OtC,UOGIrJtSldvd,518.18,38.63,556.81
SSIHiYAn9TpY,hqX5zybakKuo,UCE3Mf4XAd26,63.6,17.44,81.04
r6X1vpADLMvm,rpc533nr2KMl,4Qi71ZsjOJIX,125.46,37.68,163.14
FEIP98BAAYWW,SGGufQjkuu50,K0qPVGdA91KO,1589.0,32.34,1621.34
qlbb5qUbmXnJ,d77sYHwrvNb6,csm5h2FrAugl,42.8,83.91,126.71
7ERc3mX6MCjK,MaltNz8KU4y1,ruq0u2ZpAMDr,538.9,178.33,717.23
Qnw2wAOmQylg,jkF9uiOYSJQv,cUn7dujqBetE,358.99,75.84,434.83000000000004
vU3xyuXEj2Ba,HClWJt2zIHqw,taFg55N5hMKg,538.9,27.26,566.16
Bie3bBbWriRw,plejCSAfHfj4,0LjmES9V5fHW,46.2,110.14,156.34
XQYgG1JMLACG,8EMcxO7AFhVP,vlLUp3U56e8x,150.82,42.38,193.2
qZUh5hge1625,uhU6v99z0kXK,4YvZWfI3A03T,887.0,25.85,912.85
hlpMgRkYTHdL,4tXRIqqJAw5t,rTKC7c3Tt984,26.77,12.64,39.41
KwUxouAIwmnW,ILJ1czl5oREZ,xaLgBgfNFMTD,107.63,26.02,133.65
Fl1jNEVLIouI,UpBx9hw8qVhN,yJ785hbwK2Jx,159.99,53.39,213.38
CbQkhuNUU3S3,8lFcvo9C9wbB,YlP5976VHgAM,820.0,61.32,881.32
tVdaOadCApSM,fdKNYBPuPnsg,luzDO2kXE6wp,355.9,42.75,398.65
G07cmuGKW2nd,hGtmCHbSVQ4G,78sV6I5nExj0,128.99,59.45,188.44
2Tdr9eDhdtIu,p8szMBFqPyIE,CutJkKSkib8L,42.89,17.52,60.41
p6iWM5qft7BH,0Rv9bIApkexA,3cqSxyYyqpx6,2498.0,37.8,2535.8
oJ1LprF3qOBG,bpqNyuI195P5,5IpSxnKVJPkj,145.69,47.55,193.24
ZJ852hQOuseH,CsjdvHqLmAxc,JcRdnPnWEDp7,144.94,6.15,151.09
iHnDLespPUlT,ua99TuLWOUSc,nGUM92Z4IKz7,10.16,28.28,38.44
9LyEELGHWgoP,9d6vkyKPUKTm,ENekhljjhevR,692.0,46.76,738.76
y8qmpWJzBTA5,dAz11YkQkoue,TuPm19CMKvrM,167.0,47.55,214.55
MsJrJ9vfOmvF,mVm1INynZf3d,nKBsxjDoWKEM,89.91,6.87,96.78
ItgUvaUVS9ws,CpeCg2UGCL6P,AvTLykupHOIB,2600.0,2.46,2602.46
2YWdoyxm7ge9,3hr001otfd42,5FAQ2DFjXxv9,100.0,37.9,137.9
JDsexkka1RtD,oGoQE6pH8wMX,pifcdMtycken,75.9,6.87,82.77000000000001
Hoy9CyALWGZJ,lk149m5QGyX9,ThIpLZLmtOK2,299.99,72.16,372.15
i3YWWZIz8fk7,BGJSKvvLAPkO,56DLys9ECuwq,45.83,47.55,93.38
RM4M9i8Yn5x4,qlb3txU8IQ7W,2a07LobkzHUx,849.5,27.62,877.12
1oVrUY75oStu,H9bNMpRahUKq,tNJnfkCxzhmN,215.5,20.26,235.76
YuEmUNymzcGv,GkKwbXbTsUcZ,j6ZQXHPSPppN,509.99,17.44,527.4300000000001
kF1ka6uV5YnM,KIYt8ODpiQyI,TBkUw9PKrND5,75.6,31.03,106.63
