order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,delivery_delay,delivery_time,order_year_month,order_year,order_month,customer_zip_code_prefix,customer_city,customer_state
yUz40ih0jYGt,yOjH9Exn64WQ,delivered,2018-03-15 15:20:17,2018-03-15 15:35:35,2018-03-24 15:34:51,2018-03-27,-3.0,9.0,2018-03,2018,3,11680,sao paulo,SP
IeZYtitws7WU,yca6TkmY4yQm,delivered,2017-05-16 09:23:23,2017-05-16 09:35:15,2017-05-31 08:38:03,2017-06-07,-7.0,14.0,2017-05,2017,5,50720,sao joao de meriti,RJ
ZPkh9QhjG7SK,LooHWGt3K5gp,delivered,2017-08-05 18:13:21,2017-08-08 03:55:47,2017-08-17 17:05:57,2017-08-25,-8.0,11.0,2017-08,2017,8,88650,sao pedro da uniao,MG
KJL5uJuZzKxr,oZqYD7eyV1EJ,delivered,2018-07-17 15:21:10,2018-07-18 03:01:44,2018-08-20 12:08:32,2018-08-14,6.0,33.0,2018-07,2018,7,93346,brasilia,DF
SelY2hgVvruM,0hj86xqZbYSV,delivered,2017-05-05 17:23:59,2017-05-06 06:35:18,2017-05-25 16:30:12,2017-06-05,-11.0,19.0,2017-05,2017,5,53610,sao jose,SC
0QqNX4xLriht,l2wCGNSY1l3Z,delivered,2017-05-15 19:39:50,2017-05-15 19:55:17,2017-05-22 12:25:54,2017-06-02,-11.0,6.0,2017-05,2017,5,58900,itatiba,SP
HNXQI2lmI4AR,ukZ709Rl8bdF,delivered,2017-09-05 14:56:58,2017-09-07 02:44:07,2017-09-14 20:05:01,2017-09-18,-4.0,9.0,2017-09,2017,9,3809,sao paulo,SP
C21fWds5zL0W,iFsAJRrzVaTS,shipped,2017-02-04 12:58:55,2017-02-04 13:10:38,,2017-03-15,,,2017-02,2017,2,4932,sao paulo,SP
00NEIdaOTIgn,tSG89uyaK6MS,delivered,2018-05-07 22:34:11,2018-05-07 22:52:41,2018-05-11 22:48:43,2018-05-21,-10.0,4.0,2018-05,2018,5,66040,ribeirao preto,SP
XprtHqpLEddw,Ex7BhwPvrGyQ,delivered,2017-06-08 20:25:53,2017-06-09 20:30:15,2017-06-28 13:17:43,2017-07-11,-13.0,19.0,2017-06,2017,6,4551,santana do acarau,CE
ph9ImXx6aMjl,f4Frm4WEvj1g,delivered,2017-08-16 22:58:04,2017-08-17 00:50:11,2017-08-26 15:35:39,2017-09-05,-10.0,9.0,2017-08,2017,8,45890,sao paulo,SP
x0fzGpICAZ0w,ORO4ADUB1jHd,delivered,2018-04-27 23:54:06,2018-04-28 00:10:51,2018-05-02 17:32:25,2018-05-14,-12.0,4.0,2018-04,2018,4,83075,curitiba,PR
YUX432Je58GK,jQ0u9oBPe3Mg,delivered,2018-07-25 09:02:36,2018-07-25 09:15:13,2018-07-30 10:49:54,2018-08-02,-3.0,5.0,2018-07,2018,7,79620,sao paulo,SP
C3u0OwYQ8nuP,0I8vL0BlM1p1,delivered,2017-03-20 21:35:37,2017-03-20 21:35:37,2017-03-24 12:17:55,2017-04-10,-17.0,3.0,2017-03,2017,3,2943,atibaia,SP
UaZKqhLFwRZP,JtX09eqY5lk3,delivered,2018-03-27 17:27:57,2018-03-27 17:48:39,2018-03-31 16:12:11,2018-04-09,-9.0,3.0,2018-03,2018,3,74943,sao paulo,SP
QOaNjVewOOTX,sk3z82bQhZAO,delivered,2018-05-07 15:39:24,2018-05-07 17:30:00,2018-05-29 14:28:53,2018-05-30,-1.0,21.0,2018-05,2018,5,25651,recife,PE
lo8oje94TYb7,eSqRKROmKF9Y,delivered,2018-08-13 14:07:50,2018-08-15 03:15:09,2018-08-24 00:14:39,2018-09-05,-12.0,10.0,2018-08,2018,8,65210,florianopolis,SC
O5bLel2qV1yT,SNzA2roBQaGK,delivered,2018-08-01 13:21:58,2018-08-01 13:35:09,2018-08-15 20:31:53,2018-08-09,6.0,14.0,2018-08,2018,8,31744,rio de janeiro,RJ
3ffaVBUrnCxy,IGPOK4wVaGbv,delivered,2018-03-17 10:31:47,2018-03-17 10:50:31,2018-03-28 17:03:47,2018-04-05,-8.0,11.0,2018-03,2018,3,13065,taubate,SP
8g4jF6hPD6tG,45WzrefbE0kB,delivered,2017-06-07 20:06:06,2017-06-07 20:22:27,2017-06-16 18:25:40,2017-06-21,-5.0,8.0,2017-06,2017,6,99025,sao paulo,SP
IBT786JmVIAa,dGD1MVag3snm,delivered,2018-03-10 11:18:28,2018-03-10 11:48:16,2018-03-16 20:27:34,2018-03-22,-6.0,6.0,2018-03,2018,3,1050,curitiba,PR
Rd6Tke4v8afv,EI8c9beFpTSQ,delivered,2018-03-02 09:15:34,2018-03-02 09:29:48,2018-04-05 17:41:42,2018-03-28,8.0,34.0,2018-03,2018,3,75388,santa ines,MA
NnoGZNF5rNkD,YanexVtkhb2B,delivered,2017-11-17 19:41:48,2017-11-18 02:35:30,2017-12-02 18:38:16,2017-12-05,-3.0,14.0,2017-11,2017,11,6810,santos,SP
gZMKyNzWXvcQ,iaDXrhsLGSc6,delivered,2017-11-27 13:49:33,2017-11-27 13:56:37,2017-12-18 20:08:13,2017-12-21,-3.0,21.0,2017-11,2017,11,40354,belo horizonte,MG
qcDbJ8F0FIjM,hWGGX7sEla9R,delivered,2018-05-08 19:38:58,2018-05-08 20:54:55,2018-05-14 20:36:55,2018-05-21,-7.0,6.0,2018-05,2018,5,36090,araras,SP
hyJjgFRI44lc,MNcdWG4E5iDb,delivered,2018-04-05 11:22:54,2018-04-07 02:48:13,2018-04-13 00:50:52,2018-04-25,-12.0,7.0,2018-04,2018,4,72548,brasilia,DF
EfyYNfniuxQP,7mxdMPX1ERJj,delivered,2017-09-08 12:55:46,2017-09-08 13:05:18,2017-09-15 21:55:41,2017-10-02,-17.0,7.0,2017-09,2017,9,9445,uberlandia,MG
0MQGlO2eQrNG,JJe2PPwxISzG,delivered,2018-01-08 11:23:52,2018-01-08 11:35:30,2018-01-18 20:58:50,2018-01-31,-13.0,10.0,2018-01,2018,1,25545,santa cruz do rio pardo,SP
zb8Qfa2K9ynp,cnalXbv8lRur,delivered,2017-03-30 21:59:17,2017-04-04 05:45:23,2017-04-13 16:57:42,2017-04-25,-12.0,13.0,2017-03,2017,3,65302,cubatao,SP
LLWFihCYlP6a,Vpl3DrXMAEhb,delivered,2018-04-11 20:48:46,2018-04-11 21:09:42,2018-04-18 21:50:59,2018-05-04,-16.0,7.0,2018-04,2018,4,65935,itapolis,SP
PBvPGqQxwFDV,cWwtMYBNlwy1,delivered,2018-08-08 18:52:43,2018-08-08 19:05:10,2018-08-20 13:43:44,2018-09-20,-31.0,11.0,2018-08,2018,8,98010,porto alegre,RS
OQHE8Ve7n811,bEh2OYyGVzcI,delivered,2017-08-30 10:56:22,2017-08-30 11:10:15,2017-09-08 17:33:00,2017-09-21,-13.0,9.0,2017-08,2017,8,59075,timoteo,MG
Vtkwb0b4JxKg,3JeAegsqlpZ1,delivered,2018-05-18 18:52:53,2018-05-22 08:56:53,2018-06-04 21:16:48,2018-06-07,-3.0,17.0,2018-05,2018,5,65510,sao paulo,SP
4qLswBjaDZnT,6gl6qALuNSUL,delivered,2018-02-05 09:06:12,2018-02-07 02:52:32,2018-03-22 19:18:52,2018-03-06,16.0,45.0,2018-02,2018,2,6394,claudio,MG
XXzZNogGt47r,rAV7gKaOWkEy,delivered,2018-06-10 20:29:24,2018-06-10 20:57:48,2018-06-13 16:03:33,2018-06-29,-16.0,2.0,2018-06,2018,6,71740,bofete,SP
Pp9bMvTIgPDs,CiOHqzRk5bbt,delivered,2018-02-15 09:19:26,2018-02-16 09:35:27,2018-03-12 17:19:32,2018-03-12,0.0,25.0,2018-02,2018,2,9603,manhuacu,MG
zh6skhlWLDTv,tIPFV5qJBgvT,delivered,2018-03-06 22:09:24,2018-03-06 22:28:48,2018-03-14 23:46:30,2018-03-22,-8.0,8.0,2018-03,2018,3,78885,tatui,SP
z9Zr742C0ASe,yD2x7GOSsjqA,delivered,2018-04-29 11:36:05,2018-04-29 11:52:06,2018-05-10 21:04:37,2018-05-25,-15.0,11.0,2018-04,2018,4,76470,governador valadares,MG
AayA35wXEdbB,a9gFQyCfrVym,delivered,2017-09-11 17:35:25,2017-09-11 18:04:33,2017-10-05 20:43:40,2017-10-11,-6.0,24.0,2017-09,2017,9,3920,parnaiba,PI
kuyUMcYHFGqn,dXsploeBzop3,delivered,2018-07-29 12:47:00,2018-08-01 16:31:40,2018-08-03 18:20:55,2018-08-10,-7.0,5.0,2018-07,2018,7,2757,curitiba,PR
efc3TQanhsCE,9tQzKeNKhIoQ,delivered,2017-05-07 13:59:55,2017-05-07 14:10:14,2017-05-16 13:58:56,2017-05-31,-15.0,8.0,2017-05,2017,5,3809,sao paulo,SP
vFUriN4pz2Bi,TLYzpBJ3Cbnv,delivered,2017-09-04 14:25:41,2017-09-04 14:43:50,2017-09-12 23:54:52,2017-09-21,-9.0,8.0,2017-09,2017,9,4854,uberlandia,MG
1CVQ66HlMRUR,J2bElQYq3gEQ,delivered,2017-06-23 13:56:25,2017-06-27 03:55:21,2017-06-28 12:06:11,2017-07-13,-15.0,4.0,2017-06,2017,6,11446,carapicuiba,SP
jJgDALmwe6f6,lFEdYUjKo6tu,delivered,2017-05-05 08:44:58,2017-05-06 02:15:58,2017-05-15 11:38:04,2017-05-30,-15.0,10.0,2017-05,2017,5,48010,bom jesus da penha,MG
n8p0M8Vco4SQ,8tpStNEuJ43p,delivered,2017-04-10 23:29:46,2017-04-10 23:42:09,2017-04-20 12:03:14,2017-05-15,-25.0,9.0,2017-04,2017,4,26293,porto alegre,RS
pNSYSUcXxkhB,qvo2fc2aRUvp,delivered,2017-06-04 12:09:59,2017-06-04 13:02:01,2017-06-13 17:13:52,2017-06-20,-7.0,9.0,2017-06,2017,6,63515,itu,SP
9AWAHq3HWS6u,pk1Ke0Nxac36,delivered,2017-08-08 13:37:37,2017-08-08 13:50:13,2017-08-11 20:11:04,2017-08-23,-12.0,3.0,2017-08,2017,8,33930,rio de janeiro,RJ
DlmtCXqKjfWj,UlqYPqEYgETA,delivered,2018-07-03 11:11:29,2018-07-05 16:27:45,2018-07-09 17:06:38,2018-07-27,-18.0,6.0,2018-07,2018,7,8535,nilopolis,RJ
KqH0sXMHdItQ,M7wmpVTfmiFp,delivered,2017-07-18 20:52:33,2017-07-18 21:05:14,2017-07-24 17:56:30,2017-08-07,-14.0,5.0,2017-07,2017,7,25545,santa cruz do rio pardo,SP
OiIetUyiPLHG,4YfVSBGWPVdv,delivered,2018-06-28 00:43:34,2018-06-28 01:11:21,2018-06-29 20:52:48,2018-07-12,-13.0,1.0,2018-06,2018,6,30662,santos,SP
1pgvtCG93rNg,pqIfz7jRxaKh,delivered,2017-12-13 23:56:00,2017-12-15 23:51:44,2017-12-26 18:29:42,2018-01-09,-14.0,12.0,2017-12,2017,12,7911,sao bernardo do campo,SP
qJHIiWyTAizV,5XGKxFrzDdYP,delivered,2017-04-27 00:12:04,2017-04-27 01:15:14,2017-05-09 09:55:03,2017-05-26,-17.0,12.0,2017-04,2017,4,25804,caiua,SP
vSug5AqRo9gE,oWBBqGwqpx4m,shipped,2017-05-07 10:22:58,2017-05-09 09:35:20,,2017-06-12,,,2017-05,2017,5,75630,bom jesus,PI
cuAQQZUhTEwb,EeCs1w6JNdPU,delivered,2017-04-06 11:53:43,2017-04-06 13:05:26,2017-05-02 11:47:48,2017-05-10,-8.0,25.0,2017-04,2017,4,39363,primavera do leste,MT
yYk586LcCRYw,hgHQgpZ9rVHu,delivered,2018-03-11 14:54:08,2018-03-11 15:27:59,2018-03-23 19:23:02,2018-04-02,-10.0,12.0,2018-03,2018,3,95870,itajai,SC
2HQ26ShSPhCA,uvuFFZDOAlU7,canceled,2017-07-29 12:56:17,2017-07-29 13:05:18,,2017-08-18,,,2017-07,2017,7,93410,sao paulo,SP
iWJeaLiduq7C,bVaqeOVzrNj1,delivered,2018-08-09 08:16:06,2018-08-10 08:10:16,2018-08-15 19:42:35,2018-09-10,-26.0,6.0,2018-08,2018,8,58580,niteroi,RJ
1vz8w7BjKsWC,EZkjVsEKMQF0,delivered,2018-07-09 21:31:15,2018-07-09 21:45:13,2018-07-13 20:51:09,2018-07-24,-11.0,3.0,2018-07,2018,7,88130,araraquara,SP
h8KEpd8n4gLL,LkYwWbX35V3p,delivered,2017-11-27 11:05:38,2017-11-27 11:15:03,2018-01-22 13:56:53,2017-12-19,34.0,56.0,2017-11,2017,11,36700,sao paulo,SP
PC71lF6z451l,paCiJAGDh54D,delivered,2018-06-20 12:30:41,2018-06-22 04:36:05,2018-06-26 22:38:34,2018-07-03,-7.0,6.0,2018-06,2018,6,12053,piracicaba,SP
TySAT9hqufKc,wuCRBXrAQIyN,delivered,2018-05-10 20:41:16,2018-05-10 20:57:56,2018-05-21 19:16:30,2018-05-30,-9.0,10.0,2018-05,2018,5,86375,goiania,GO
Y72RuFd0mZnO,jsuJ85mr7Rlb,delivered,2017-12-13 23:06:19,2017-12-13 23:15:33,2017-12-18 16:43:44,2018-01-05,-18.0,4.0,2017-12,2017,12,31525,guarulhos,SP
JQnDQBQZYwWs,7qqTmdyVGDMP,delivered,2018-03-15 22:03:50,2018-03-15 22:15:51,2018-03-20 21:58:43,2018-03-28,-8.0,4.0,2018-03,2018,3,99990,sao goncalo,RJ
qcXjhr3DZYmI,ebCRKHmjYa2q,delivered,2018-02-22 12:04:32,2018-02-22 12:29:22,2018-04-02 23:26:57,2018-03-20,13.0,39.0,2018-02,2018,2,82640,joinville,SC
3SQKKPbTrStx,ap5gXjoc79ju,delivered,2018-01-26 17:33:03,2018-01-26 18:00:34,2018-02-01 20:29:26,2018-02-09,-8.0,6.0,2018-01,2018,1,48020,sao paulo,SP
IKSlI8m4cXvg,63cb18M1Z31w,delivered,2018-08-07 16:45:43,2018-08-07 17:05:05,2018-08-10 19:58:43,2018-08-27,-17.0,3.0,2018-08,2018,8,4114,ibirite,MG
ubzoVELLkeoU,cIIcBGeYxzLl,delivered,2017-11-24 21:08:14,2017-11-25 00:16:29,2017-12-22 21:40:03,2017-12-21,1.0,28.0,2017-11,2017,11,21640,palhoca,SC
FfjA9YfQ045p,asn6Y9BiG6Ma,delivered,2017-01-05 14:18:03,2017-01-07 03:44:16,2017-01-17 16:47:45,2017-02-13,-27.0,12.0,2017-01,2017,1,2261,curitiba,PR
pHtHYRoip8Cl,MdXOdiX1GYJB,delivered,2017-11-27 21:29:49,2017-11-30 17:31:14,2017-12-09 15:27:09,2017-12-22,-13.0,11.0,2017-11,2017,11,25560,itupeva,SP
yGQcdep9edOe,DFT8eetndqim,delivered,2018-03-19 07:49:47,2018-03-20 07:08:04,2018-03-26 17:28:33,2018-04-05,-10.0,7.0,2018-03,2018,3,99250,monte azul paulista,SP
O2vxSz1Ohmit,pfARTA1RWJhn,delivered,2018-06-18 08:14:02,2018-06-19 03:36:38,2018-06-29 15:12:38,2018-07-17,-18.0,11.0,2018-06,2018,6,26140,joinville,SC
CEHnEFl5VOdj,G7fLaaLEAieo,delivered,2018-01-17 18:54:36,2018-01-17 19:10:35,2018-02-21 00:39:10,2018-02-14,7.0,34.0,2018-01,2018,1,44092,concordia,SC
JYzOn3Ha1rNQ,VOohNhPUdkDS,delivered,2018-04-22 12:13:25,2018-04-24 17:24:48,2018-05-02 20:38:44,2018-05-14,-12.0,10.0,2018-04,2018,4,3274,araraquara,SP
YjpdVhpi6ke5,dvl5K6eo1ouv,delivered,2018-04-20 09:01:16,2018-04-24 18:35:57,2018-04-25 01:30:59,2018-05-07,-12.0,4.0,2018-04,2018,4,62800,osasco,SP
xmCgQrZviQ4N,Nxs89iJKBJ8Z,delivered,2018-07-22 17:47:27,2018-07-23 12:32:17,2018-07-26 16:21:16,2018-07-31,-5.0,3.0,2018-07,2018,7,2185,jundiai,SP
DWf9VC5hYd07,fo2DhPj0geOU,delivered,2017-08-02 13:06:10,2017-08-02 13:23:15,2017-09-19 15:00:51,2017-08-25,25.0,48.0,2017-08,2017,8,5642,januaria,MG
gMRkjz3CrUnd,ufG7Q9l2g5Dn,delivered,2017-09-19 19:46:11,2017-09-19 20:04:05,2017-09-29 20:49:52,2017-10-05,-6.0,10.0,2017-09,2017,9,25680,sao paulo,SP
1sBsJeYdxAI1,uJZ6s76zSxtN,delivered,2017-07-18 17:17:37,2017-07-18 17:25:16,2017-07-26 15:52:12,2017-08-09,-14.0,7.0,2017-07,2017,7,95173,campinas,SP
6NKIoWu3AOZS,gngo3QnJVUXB,delivered,2018-04-02 12:12:56,2018-04-02 12:28:37,2018-04-04 18:13:46,2018-04-26,-22.0,2.0,2018-04,2018,4,56460,sao paulo,SP
fQ58lYglAHz2,HtPYXtaKFzex,delivered,2017-06-16 10:33:12,2017-06-17 10:25:15,2017-06-21 18:06:29,2017-06-29,-8.0,5.0,2017-06,2017,6,49180,belo horizonte,MG
0Eab4qSWCSyh,xIjzSNbQQ1uw,delivered,2018-01-15 12:22:25,2018-01-15 12:34:24,2018-01-18 16:09:03,2018-01-30,-12.0,3.0,2018-01,2018,1,94451,sao bernardo do campo,SP
RCsCygUAyk50,3qJ5VThdsczu,delivered,2017-09-15 07:39:51,2017-09-15 07:50:08,2017-09-20 22:03:52,2017-10-03,-13.0,5.0,2017-09,2017,9,6010,uberlandia,MG
POj27FIujdqj,lZCaJq9iYKt0,delivered,2018-06-14 21:18:25,2018-06-14 21:36:55,2018-06-20 20:58:36,2018-07-05,-15.0,5.0,2018-06,2018,6,59015,brasilia,DF
lTxzZyJHvbIZ,ncBjZzosb18g,delivered,2017-11-23 11:42:07,2017-11-25 03:32:48,2017-12-16 17:58:49,2017-12-21,-5.0,23.0,2017-11,2017,11,29330,dom pedrito,RS
PbW1A2IELHIL,E1CIwdUAL7mV,delivered,2018-07-19 19:17:20,2018-07-19 19:50:08,2018-07-30 16:54:44,2018-08-16,-17.0,10.0,2018-07,2018,7,4734,rio de janeiro,RJ
RYBegQzM81NV,QsVvy2vjoqJ2,delivered,2017-07-13 14:39:29,2017-07-14 02:24:20,2017-07-31 18:25:47,2017-08-14,-14.0,18.0,2017-07,2017,7,88350,passo fundo,RS
uIMjdIbbLKuf,eWPTvp2Uxgjr,delivered,2018-04-12 21:25:16,2018-04-13 13:29:47,2018-04-28 19:56:29,2018-05-03,-5.0,15.0,2018-04,2018,4,70298,dourados,MS
jj4qFCWCsUSC,SDjEL1DMM89j,delivered,2017-08-11 15:52:07,2017-08-12 02:55:08,2017-08-23 11:58:17,2017-08-31,-8.0,11.0,2017-08,2017,8,3974,assis,SP
JBctb1NlmsLO,A5ypt74Dm5ED,delivered,2017-11-25 23:56:26,2017-11-27 23:50:00,2017-12-15 04:22:46,2017-12-27,-12.0,19.0,2017-11,2017,11,39900,acarau,CE
V98wyh8HaJrC,M8toooCMGG65,delivered,2017-03-26 14:07:21,2017-03-26 14:15:20,2017-04-03 13:15:36,2017-04-24,-21.0,7.0,2017-03,2017,3,39625,porto alegre,RS
F7SlozxlB98i,YeToIjRZbK1b,delivered,2018-04-15 23:10:48,2018-04-15 23:32:29,2018-04-21 00:08:30,2018-05-09,-18.0,5.0,2018-04,2018,4,4832,sao paulo,SP
M9UeVfUqd5IQ,zwFtWWaE2Ja8,delivered,2017-11-30 09:06:04,2017-11-30 09:15:33,2017-12-27 14:18:10,2018-01-05,-9.0,27.0,2017-11,2017,11,37305,vera,MT
XfRzUdQ4vXDb,Yu7y0eUjrMjF,delivered,2017-10-15 04:15:02,2017-10-15 04:28:11,2017-10-23 14:37:33,2017-10-26,-3.0,8.0,2017-10,2017,10,1414,sao bernardo do campo,SP
KZdbnccspG6C,tvBnqB57rQrh,delivered,2017-08-12 22:00:15,2017-08-12 22:15:13,2017-08-17 20:47:36,2017-09-05,-19.0,4.0,2017-08,2017,8,2634,betim,MG
aK8BUDSAUnAJ,EmOTT0NimdgC,delivered,2017-08-25 23:51:38,2017-08-26 00:05:55,2017-09-04 19:09:41,2017-09-19,-15.0,9.0,2017-08,2017,8,64080,resende,RJ
hdpKYesvGZeq,3QWW2QATQoks,delivered,2018-08-10 15:08:54,2018-08-11 02:50:24,2018-08-31 23:58:27,2018-08-16,15.0,21.0,2018-08,2018,8,2247,maua,SP
5jALvFXzAkdi,9U87V4FA6owh,delivered,2018-02-27 11:06:32,2018-02-27 11:15:32,2018-03-21 22:38:25,2018-03-21,0.0,22.0,2018-02,2018,2,70865,sao paulo,SP
