order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,delivery_delay,delivery_time,order_year_month,order_year,order_month,customer_zip_code_prefix,customer_city,customer_state,loyal_customer,kmeans_label,dbscan_label,agglomerative_label,gmm_label
j5rwgECNf14O,bUornDCZmRD4,delivered,2018-03-15 11:13:23,2018-03-15 11:29:14,2018-04-09 18:54:36,2018-04-03,6.0,25.0,2018-03,2018,3,3440,sao paulo,SP,0,4.0,4.0,1.0,2.0
43It0OEHVyJe,qEVfsXFU3er9,delivered,2017-03-05 16:10:01,2017-03-05 16:25:11,2017-04-18 15:28:21,2017-04-06,12.0,43.0,2017-03,2017,3,3936,apora,BA,0,2.0,-1.0,-1.0,1.0
ddXx4T93MeaI,mPg90mQwmDOP,delivered,2017-10-03 12:58:11,2017-10-03 13:07:28,2017-10-09 14:06:32,2017-10-30,-21.0,6.0,2017-10,2017,10,85140,brasilia,DF,0,4.0,-1.0,1.0,2.0
NXDsEGbl1pUC,v6GelvnCrAk5,delivered,2018-04-02 00:31:04,2018-04-02 00:47:44,2018-04-06 20:53:33,2018-04-18,-12.0,4.0,2018-04,2018,4,18500,sao paulo,SP,0,4.0,4.0,1.0,2.0
MhDudBaAab78,lZ0pUFQvjZNA,delivered,2017-08-16 19:36:38,2017-08-18 02:35:25,2017-08-24 21:47:56,2017-09-05,-12.0,8.0,2017-08,2017,8,37589,lorena,SP,0,5.0,7.0,-1.0,0.0
XupzjrovQeez,ckZATUjYdFd3,delivered,2017-06-21 16:41:10,2017-06-22 02:45:18,2017-06-29 12:43:45,2017-07-04,-5.0,7.0,2017-06,2017,6,54070,sao paulo,SP,0,4.0,-1.0,-1.0,2.0
YTztQOHlvuBg,GuxDt46GwQEd,delivered,2017-07-02 21:10:38,2017-07-02 21:25:15,2017-07-13 19:19:52,2017-07-27,-14.0,10.0,2017-07,2017,7,95912,canoas,RS,0,5.0,8.0,0.0,3.0
xfXLgLbCo5BC,SPV4UclettEh,delivered,2018-02-18 12:03:25,2018-02-18 12:10:25,2018-02-28 20:06:27,2018-03-13,-13.0,10.0,2018-02,2018,2,75132,nova iguacu,RJ,0,5.0,9.0,-1.0,3.0
gVMP1bPDg69L,GpdbWoJi61Qc,delivered,2017-12-30 02:36:20,2018-01-04 23:17:35,2018-01-23 20:28:38,2018-02-05,-13.0,24.0,2017-12,2017,12,20011,caruaru,PE,0,4.0,-1.0,-1.0,0.0
9G9EHbafs7NW,KD8KlSTtIm3Z,delivered,2018-07-18 18:42:47,2018-07-18 18:55:28,2018-08-03 14:43:03,2018-08-13,-10.0,15.0,2018-07,2018,7,85155,sao lourenco da mata,PE,0,3.0,10.0,-1.0,2.0
INolFarYfmEO,QU7yWUgfIpJX,delivered,2018-06-30 21:08:36,2018-06-30 21:30:06,2018-07-11 17:56:33,2018-08-03,-23.0,10.0,2018-06,2018,6,35360,novo hamburgo,RS,0,4.0,15.0,-1.0,3.0
LV0vJIDricq1,rgjb3WchpjHg,delivered,2017-11-05 19:14:22,2017-11-07 07:30:35,2017-11-17 20:32:53,2017-11-29,-12.0,12.0,2017-11,2017,11,57690,goiania,GO,0,5.0,11.0,-1.0,1.0
VtQvdStc00Xd,JyHhNu9cbCo1,delivered,2017-03-07 19:19:19,2017-03-08 03:05:17,2017-03-21 10:41:53,2017-04-03,-13.0,13.0,2017-03,2017,3,57180,belo horizonte,MG,0,4.0,-1.0,2.0,1.0
tOTdnjpI8Udp,Jw0zo2CWiEs7,delivered,2018-07-10 12:15:42,2018-07-10 12:30:21,2018-07-15 16:13:38,2018-07-18,-3.0,5.0,2018-07,2018,7,95925,sao paulo,SP,0,5.0,12.0,1.0,2.0
ebR5efLCCpiq,MXiUFyGLUs2Z,delivered,2018-02-03 17:08:22,2018-02-03 17:30:03,2018-03-06 07:14:36,2018-03-13,-7.0,30.0,2018-02,2018,2,89031,nova serrana,MG,0,5.0,55.0,4.0,5.0
YOKYMSjKRCMN,oiBrZODbJTvz,delivered,2018-04-10 08:42:53,2018-04-10 08:55:33,2018-04-20 10:59:02,2018-05-02,-12.0,10.0,2018-04,2018,4,17017,guacui,ES,0,6.0,-1.0,-1.0,4.0
57XZHymoJ10l,mcuPjOLRkNpR,delivered,2017-09-05 13:32:39,2017-09-05 13:50:10,2017-09-13 16:54:10,2017-09-29,-16.0,8.0,2017-09,2017,9,77807,sao paulo,SP,0,4.0,13.0,3.0,0.0
yUz40ih0jYGt,yOjH9Exn64WQ,delivered,2018-03-15 15:20:17,2018-03-15 15:35:35,2018-03-24 15:34:51,2018-03-27,-3.0,9.0,2018-03,2018,3,11680,sao paulo,SP,0,4.0,-1.0,-1.0,3.0
IeZYtitws7WU,yca6TkmY4yQm,delivered,2017-05-16 09:23:23,2017-05-16 09:35:15,2017-05-31 08:38:03,2017-06-07,-7.0,14.0,2017-05,2017,5,50720,sao joao de meriti,RJ,0,2.0,-1.0,0.0,3.0
ZPkh9QhjG7SK,LooHWGt3K5gp,delivered,2017-08-05 18:13:21,2017-08-08 03:55:47,2017-08-17 17:05:57,2017-08-25,-8.0,11.0,2017-08,2017,8,88650,sao pedro da uniao,MG,0,5.0,11.0,2.0,1.0
KJL5uJuZzKxr,oZqYD7eyV1EJ,delivered,2018-07-17 15:21:10,2018-07-18 03:01:44,2018-08-20 12:08:32,2018-08-14,6.0,33.0,2018-07,2018,7,93346,brasilia,DF,0,4.0,4.0,1.0,2.0
SelY2hgVvruM,0hj86xqZbYSV,delivered,2017-05-05 17:23:59,2017-05-06 06:35:18,2017-05-25 16:30:12,2017-06-05,-11.0,19.0,2017-05,2017,5,53610,sao jose,SC,0,0.0,14.0,-1.0,3.0
0QqNX4xLriht,l2wCGNSY1l3Z,delivered,2017-05-15 19:39:50,2017-05-15 19:55:17,2017-05-22 12:25:54,2017-06-02,-11.0,6.0,2017-05,2017,5,58900,itatiba,SP,0,5.0,8.0,0.0,3.0
HNXQI2lmI4AR,ukZ709Rl8bdF,delivered,2017-09-05 14:56:58,2017-09-07 02:44:07,2017-09-14 20:05:01,2017-09-18,-4.0,9.0,2017-09,2017,9,3809,sao paulo,SP,0,5.0,9.0,-1.0,3.0
C21fWds5zL0W,iFsAJRrzVaTS,shipped,2017-02-04 12:58:55,2017-02-04 13:10:38,,2017-03-15,,,2017-02,2017,2,4932,sao paulo,SP,0,4.0,15.0,0.0,3.0
00NEIdaOTIgn,tSG89uyaK6MS,delivered,2018-05-07 22:34:11,2018-05-07 22:52:41,2018-05-11 22:48:43,2018-05-21,-10.0,4.0,2018-05,2018,5,66040,ribeirao preto,SP,0,1.0,16.0,-1.0,3.0
XprtHqpLEddw,Ex7BhwPvrGyQ,delivered,2017-06-08 20:25:53,2017-06-09 20:30:15,2017-06-28 13:17:43,2017-07-11,-13.0,19.0,2017-06,2017,6,4551,santana do acarau,CE,0,0.0,-1.0,-1.0,3.0
ph9ImXx6aMjl,f4Frm4WEvj1g,delivered,2017-08-16 22:58:04,2017-08-17 00:50:11,2017-08-26 15:35:39,2017-09-05,-10.0,9.0,2017-08,2017,8,45890,sao paulo,SP,0,0.0,14.0,-1.0,3.0
x0fzGpICAZ0w,ORO4ADUB1jHd,delivered,2018-04-27 23:54:06,2018-04-28 00:10:51,2018-05-02 17:32:25,2018-05-14,-12.0,4.0,2018-04,2018,4,83075,curitiba,PR,0,5.0,-1.0,1.0,2.0
YUX432Je58GK,jQ0u9oBPe3Mg,delivered,2018-07-25 09:02:36,2018-07-25 09:15:13,2018-07-30 10:49:54,2018-08-02,-3.0,5.0,2018-07,2018,7,79620,sao paulo,SP,0,4.0,-1.0,0.0,3.0
C3u0OwYQ8nuP,0I8vL0BlM1p1,delivered,2017-03-20 21:35:37,2017-03-20 21:35:37,2017-03-24 12:17:55,2017-04-10,-17.0,3.0,2017-03,2017,3,2943,atibaia,SP,0,5.0,2.0,1.0,2.0
UaZKqhLFwRZP,JtX09eqY5lk3,delivered,2018-03-27 17:27:57,2018-03-27 17:48:39,2018-03-31 16:12:11,2018-04-09,-9.0,3.0,2018-03,2018,3,74943,sao paulo,SP,0,5.0,11.0,2.0,1.0
QOaNjVewOOTX,sk3z82bQhZAO,delivered,2018-05-07 15:39:24,2018-05-07 17:30:00,2018-05-29 14:28:53,2018-05-30,-1.0,21.0,2018-05,2018,5,25651,recife,PE,0,5.0,2.0,-1.0,2.0
lo8oje94TYb7,eSqRKROmKF9Y,delivered,2018-08-13 14:07:50,2018-08-15 03:15:09,2018-08-24 00:14:39,2018-09-05,-12.0,10.0,2018-08,2018,8,65210,florianopolis,SC,0,2.0,-1.0,2.0,1.0
O5bLel2qV1yT,SNzA2roBQaGK,delivered,2018-08-01 13:21:58,2018-08-01 13:35:09,2018-08-15 20:31:53,2018-08-09,6.0,14.0,2018-08,2018,8,31744,rio de janeiro,RJ,0,2.0,17.0,-1.0,1.0
3ffaVBUrnCxy,IGPOK4wVaGbv,delivered,2018-03-17 10:31:47,2018-03-17 10:50:31,2018-03-28 17:03:47,2018-04-05,-8.0,11.0,2018-03,2018,3,13065,taubate,SP,0,4.0,19.0,-1.0,2.0
8g4jF6hPD6tG,45WzrefbE0kB,delivered,2017-06-07 20:06:06,2017-06-07 20:22:27,2017-06-16 18:25:40,2017-06-21,-5.0,8.0,2017-06,2017,6,99025,sao paulo,SP,0,5.0,2.0,-1.0,2.0
IBT786JmVIAa,dGD1MVag3snm,delivered,2018-03-10 11:18:28,2018-03-10 11:48:16,2018-03-16 20:27:34,2018-03-22,-6.0,6.0,2018-03,2018,3,1050,curitiba,PR,0,2.0,1.0,-1.0,2.0
Rd6Tke4v8afv,EI8c9beFpTSQ,delivered,2018-03-02 09:15:34,2018-03-02 09:29:48,2018-04-05 17:41:42,2018-03-28,8.0,34.0,2018-03,2018,3,75388,santa ines,MA,0,4.0,-1.0,-1.0,5.0
NnoGZNF5rNkD,YanexVtkhb2B,delivered,2017-11-17 19:41:48,2017-11-18 02:35:30,2017-12-02 18:38:16,2017-12-05,-3.0,14.0,2017-11,2017,11,6810,santos,SP,0,4.0,4.0,1.0,2.0
gZMKyNzWXvcQ,iaDXrhsLGSc6,delivered,2017-11-27 13:49:33,2017-11-27 13:56:37,2017-12-18 20:08:13,2017-12-21,-3.0,21.0,2017-11,2017,11,40354,belo horizonte,MG,0,5.0,2.0,-1.0,2.0
qcDbJ8F0FIjM,hWGGX7sEla9R,delivered,2018-05-08 19:38:58,2018-05-08 20:54:55,2018-05-14 20:36:55,2018-05-21,-7.0,6.0,2018-05,2018,5,36090,araras,SP,0,2.0,42.0,4.0,5.0
hyJjgFRI44lc,MNcdWG4E5iDb,delivered,2018-04-05 11:22:54,2018-04-07 02:48:13,2018-04-13 00:50:52,2018-04-25,-12.0,7.0,2018-04,2018,4,72548,brasilia,DF,0,5.0,7.0,3.0,0.0
EfyYNfniuxQP,7mxdMPX1ERJj,delivered,2017-09-08 12:55:46,2017-09-08 13:05:18,2017-09-15 21:55:41,2017-10-02,-17.0,7.0,2017-09,2017,9,9445,uberlandia,MG,0,6.0,-1.0,-1.0,4.0
0MQGlO2eQrNG,JJe2PPwxISzG,delivered,2018-01-08 11:23:52,2018-01-08 11:35:30,2018-01-18 20:58:50,2018-01-31,-13.0,10.0,2018-01,2018,1,25545,santa cruz do rio pardo,SP,0,2.0,-1.0,3.0,0.0
zb8Qfa2K9ynp,cnalXbv8lRur,delivered,2017-03-30 21:59:17,2017-04-04 05:45:23,2017-04-13 16:57:42,2017-04-25,-12.0,13.0,2017-03,2017,3,65302,cubatao,SP,0,1.0,18.0,-1.0,3.0
LLWFihCYlP6a,Vpl3DrXMAEhb,delivered,2018-04-11 20:48:46,2018-04-11 21:09:42,2018-04-18 21:50:59,2018-05-04,-16.0,7.0,2018-04,2018,4,65935,itapolis,SP,0,4.0,19.0,-1.0,2.0
PBvPGqQxwFDV,cWwtMYBNlwy1,delivered,2018-08-08 18:52:43,2018-08-08 19:05:10,2018-08-20 13:43:44,2018-09-20,-31.0,11.0,2018-08,2018,8,98010,porto alegre,RS,0,5.0,9.0,-1.0,3.0
OQHE8Ve7n811,bEh2OYyGVzcI,delivered,2017-08-30 10:56:22,2017-08-30 11:10:15,2017-09-08 17:33:00,2017-09-21,-13.0,9.0,2017-08,2017,8,59075,timoteo,MG,0,2.0,-1.0,3.0,0.0
Vtkwb0b4JxKg,3JeAegsqlpZ1,delivered,2018-05-18 18:52:53,2018-05-22 08:56:53,2018-06-04 21:16:48,2018-06-07,-3.0,17.0,2018-05,2018,5,65510,sao paulo,SP,0,3.0,10.0,-1.0,2.0
4qLswBjaDZnT,6gl6qALuNSUL,delivered,2018-02-05 09:06:12,2018-02-07 02:52:32,2018-03-22 19:18:52,2018-03-06,16.0,45.0,2018-02,2018,2,6394,claudio,MG,0,6.0,20.0,-1.0,4.0
XXzZNogGt47r,rAV7gKaOWkEy,delivered,2018-06-10 20:29:24,2018-06-10 20:57:48,2018-06-13 16:03:33,2018-06-29,-16.0,2.0,2018-06,2018,6,71740,bofete,SP,0,3.0,23.0,1.0,2.0
Pp9bMvTIgPDs,CiOHqzRk5bbt,delivered,2018-02-15 09:19:26,2018-02-16 09:35:27,2018-03-12 17:19:32,2018-03-12,0.0,25.0,2018-02,2018,2,9603,manhuacu,MG,0,4.0,13.0,3.0,0.0
zh6skhlWLDTv,tIPFV5qJBgvT,delivered,2018-03-06 22:09:24,2018-03-06 22:28:48,2018-03-14 23:46:30,2018-03-22,-8.0,8.0,2018-03,2018,3,78885,tatui,SP,0,5.0,2.0,1.0,2.0
z9Zr742C0ASe,yD2x7GOSsjqA,delivered,2018-04-29 11:36:05,2018-04-29 11:52:06,2018-05-10 21:04:37,2018-05-25,-15.0,11.0,2018-04,2018,4,76470,governador valadares,MG,0,4.0,4.0,-1.0,2.0
AayA35wXEdbB,a9gFQyCfrVym,delivered,2017-09-11 17:35:25,2017-09-11 18:04:33,2017-10-05 20:43:40,2017-10-11,-6.0,24.0,2017-09,2017,9,3920,parnaiba,PI,0,4.0,31.0,-1.0,1.0
kuyUMcYHFGqn,dXsploeBzop3,delivered,2018-07-29 12:47:00,2018-08-01 16:31:40,2018-08-03 18:20:55,2018-08-10,-7.0,5.0,2018-07,2018,7,2757,curitiba,PR,0,6.0,21.0,0.0,4.0
efc3TQanhsCE,9tQzKeNKhIoQ,delivered,2017-05-07 13:59:55,2017-05-07 14:10:14,2017-05-16 13:58:56,2017-05-31,-15.0,8.0,2017-05,2017,5,3809,sao paulo,SP,0,5.0,8.0,-1.0,3.0
vFUriN4pz2Bi,TLYzpBJ3Cbnv,delivered,2017-09-04 14:25:41,2017-09-04 14:43:50,2017-09-12 23:54:52,2017-09-21,-9.0,8.0,2017-09,2017,9,4854,uberlandia,MG,0,5.0,11.0,-1.0,1.0
1CVQ66HlMRUR,J2bElQYq3gEQ,delivered,2017-06-23 13:56:25,2017-06-27 03:55:21,2017-06-28 12:06:11,2017-07-13,-15.0,4.0,2017-06,2017,6,11446,carapicuiba,SP,0,2.0,22.0,3.0,0.0
jJgDALmwe6f6,lFEdYUjKo6tu,delivered,2017-05-05 08:44:58,2017-05-06 02:15:58,2017-05-15 11:38:04,2017-05-30,-15.0,10.0,2017-05,2017,5,48010,bom jesus da penha,MG,0,3.0,23.0,-1.0,2.0
n8p0M8Vco4SQ,8tpStNEuJ43p,delivered,2017-04-10 23:29:46,2017-04-10 23:42:09,2017-04-20 12:03:14,2017-05-15,-25.0,9.0,2017-04,2017,4,26293,porto alegre,RS,0,4.0,4.0,-1.0,2.0
pNSYSUcXxkhB,qvo2fc2aRUvp,delivered,2017-06-04 12:09:59,2017-06-04 13:02:01,2017-06-13 17:13:52,2017-06-20,-7.0,9.0,2017-06,2017,6,63515,itu,SP,0,1.0,-1.0,0.0,3.0
9AWAHq3HWS6u,pk1Ke0Nxac36,delivered,2017-08-08 13:37:37,2017-08-08 13:50:13,2017-08-11 20:11:04,2017-08-23,-12.0,3.0,2017-08,2017,8,33930,rio de janeiro,RJ,0,5.0,2.0,1.0,2.0
DlmtCXqKjfWj,UlqYPqEYgETA,delivered,2018-07-03 11:11:29,2018-07-05 16:27:45,2018-07-09 17:06:38,2018-07-27,-18.0,6.0,2018-07,2018,7,8535,nilopolis,RJ,0,6.0,20.0,0.0,4.0
KqH0sXMHdItQ,M7wmpVTfmiFp,delivered,2017-07-18 20:52:33,2017-07-18 21:05:14,2017-07-24 17:56:30,2017-08-07,-14.0,5.0,2017-07,2017,7,25545,santa cruz do rio pardo,SP,0,5.0,2.0,-1.0,2.0
OiIetUyiPLHG,4YfVSBGWPVdv,delivered,2018-06-28 00:43:34,2018-06-28 01:11:21,2018-06-29 20:52:48,2018-07-12,-13.0,1.0,2018-06,2018,6,30662,santos,SP,0,3.0,10.0,-1.0,2.0
1pgvtCG93rNg,pqIfz7jRxaKh,delivered,2017-12-13 23:56:00,2017-12-15 23:51:44,2017-12-26 18:29:42,2018-01-09,-14.0,12.0,2017-12,2017,12,7911,sao bernardo do campo,SP,0,5.0,2.0,-1.0,2.0
qJHIiWyTAizV,5XGKxFrzDdYP,delivered,2017-04-27 00:12:04,2017-04-27 01:15:14,2017-05-09 09:55:03,2017-05-26,-17.0,12.0,2017-04,2017,4,25804,caiua,SP,0,4.0,4.0,-1.0,2.0
vSug5AqRo9gE,oWBBqGwqpx4m,shipped,2017-05-07 10:22:58,2017-05-09 09:35:20,,2017-06-12,,,2017-05,2017,5,75630,bom jesus,PI,0,2.0,-1.0,-1.0,3.0
cuAQQZUhTEwb,EeCs1w6JNdPU,delivered,2017-04-06 11:53:43,2017-04-06 13:05:26,2017-05-02 11:47:48,2017-05-10,-8.0,25.0,2017-04,2017,4,39363,primavera do leste,MT,0,2.0,1.0,1.0,2.0
yYk586LcCRYw,hgHQgpZ9rVHu,delivered,2018-03-11 14:54:08,2018-03-11 15:27:59,2018-03-23 19:23:02,2018-04-02,-10.0,12.0,2018-03,2018,3,95870,itajai,SC,0,5.0,2.0,1.0,2.0
2HQ26ShSPhCA,uvuFFZDOAlU7,canceled,2017-07-29 12:56:17,2017-07-29 13:05:18,,2017-08-18,,,2017-07,2017,7,93410,sao paulo,SP,0,5.0,2.0,-1.0,2.0
iWJeaLiduq7C,bVaqeOVzrNj1,delivered,2018-08-09 08:16:06,2018-08-10 08:10:16,2018-08-15 19:42:35,2018-09-10,-26.0,6.0,2018-08,2018,8,58580,niteroi,RJ,0,4.0,13.0,-1.0,0.0
1vz8w7BjKsWC,EZkjVsEKMQF0,delivered,2018-07-09 21:31:15,2018-07-09 21:45:13,2018-07-13 20:51:09,2018-07-24,-11.0,3.0,2018-07,2018,7,88130,araraquara,SP,0,5.0,11.0,-1.0,1.0
h8KEpd8n4gLL,LkYwWbX35V3p,delivered,2017-11-27 11:05:38,2017-11-27 11:15:03,2018-01-22 13:56:53,2017-12-19,34.0,56.0,2017-11,2017,11,36700,sao paulo,SP,0,3.0,23.0,1.0,2.0
PC71lF6z451l,paCiJAGDh54D,delivered,2018-06-20 12:30:41,2018-06-22 04:36:05,2018-06-26 22:38:34,2018-07-03,-7.0,6.0,2018-06,2018,6,12053,piracicaba,SP,0,3.0,10.0,1.0,2.0
TySAT9hqufKc,wuCRBXrAQIyN,delivered,2018-05-10 20:41:16,2018-05-10 20:57:56,2018-05-21 19:16:30,2018-05-30,-9.0,10.0,2018-05,2018,5,86375,goiania,GO,0,4.0,19.0,-1.0,2.0
Y72RuFd0mZnO,jsuJ85mr7Rlb,delivered,2017-12-13 23:06:19,2017-12-13 23:15:33,2017-12-18 16:43:44,2018-01-05,-18.0,4.0,2017-12,2017,12,31525,guarulhos,SP,0,5.0,6.0,4.0,5.0
JQnDQBQZYwWs,7qqTmdyVGDMP,delivered,2018-03-15 22:03:50,2018-03-15 22:15:51,2018-03-20 21:58:43,2018-03-28,-8.0,4.0,2018-03,2018,3,99990,sao goncalo,RJ,0,1.0,16.0,0.0,3.0
qcXjhr3DZYmI,ebCRKHmjYa2q,delivered,2018-02-22 12:04:32,2018-02-22 12:29:22,2018-04-02 23:26:57,2018-03-20,13.0,39.0,2018-02,2018,2,82640,joinville,SC,0,4.0,4.0,-1.0,2.0
3SQKKPbTrStx,ap5gXjoc79ju,delivered,2018-01-26 17:33:03,2018-01-26 18:00:34,2018-02-01 20:29:26,2018-02-09,-8.0,6.0,2018-01,2018,1,48020,sao paulo,SP,0,4.0,24.0,-1.0,2.0
IKSlI8m4cXvg,63cb18M1Z31w,delivered,2018-08-07 16:45:43,2018-08-07 17:05:05,2018-08-10 19:58:43,2018-08-27,-17.0,3.0,2018-08,2018,8,4114,ibirite,MG,0,4.0,4.0,1.0,2.0
ubzoVELLkeoU,cIIcBGeYxzLl,delivered,2017-11-24 21:08:14,2017-11-25 00:16:29,2017-12-22 21:40:03,2017-12-21,1.0,28.0,2017-11,2017,11,21640,palhoca,SC,0,4.0,24.0,-1.0,2.0
FfjA9YfQ045p,asn6Y9BiG6Ma,delivered,2017-01-05 14:18:03,2017-01-07 03:44:16,2017-01-17 16:47:45,2017-02-13,-27.0,12.0,2017-01,2017,1,2261,curitiba,PR,0,5.0,9.0,2.0,3.0
pHtHYRoip8Cl,MdXOdiX1GYJB,delivered,2017-11-27 21:29:49,2017-11-30 17:31:14,2017-12-09 15:27:09,2017-12-22,-13.0,11.0,2017-11,2017,11,25560,itupeva,SP,0,5.0,2.0,1.0,2.0
yGQcdep9edOe,DFT8eetndqim,delivered,2018-03-19 07:49:47,2018-03-20 07:08:04,2018-03-26 17:28:33,2018-04-05,-10.0,7.0,2018-03,2018,3,99250,monte azul paulista,SP,0,3.0,-1.0,1.0,2.0
O2vxSz1Ohmit,pfARTA1RWJhn,delivered,2018-06-18 08:14:02,2018-06-19 03:36:38,2018-06-29 15:12:38,2018-07-17,-18.0,11.0,2018-06,2018,6,26140,joinville,SC,0,2.0,-1.0,3.0,0.0
CEHnEFl5VOdj,G7fLaaLEAieo,delivered,2018-01-17 18:54:36,2018-01-17 19:10:35,2018-02-21 00:39:10,2018-02-14,7.0,34.0,2018-01,2018,1,44092,concordia,SC,0,3.0,25.0,-1.0,2.0
JYzOn3Ha1rNQ,VOohNhPUdkDS,delivered,2018-04-22 12:13:25,2018-04-24 17:24:48,2018-05-02 20:38:44,2018-05-14,-12.0,10.0,2018-04,2018,4,3274,araraquara,SP,0,0.0,-1.0,2.0,3.0
YjpdVhpi6ke5,dvl5K6eo1ouv,delivered,2018-04-20 09:01:16,2018-04-24 18:35:57,2018-04-25 01:30:59,2018-05-07,-12.0,4.0,2018-04,2018,4,62800,osasco,SP,0,5.0,7.0,3.0,0.0
xmCgQrZviQ4N,Nxs89iJKBJ8Z,delivered,2018-07-22 17:47:27,2018-07-23 12:32:17,2018-07-26 16:21:16,2018-07-31,-5.0,3.0,2018-07,2018,7,2185,jundiai,SP,0,2.0,26.0,1.0,2.0
DWf9VC5hYd07,fo2DhPj0geOU,delivered,2017-08-02 13:06:10,2017-08-02 13:23:15,2017-09-19 15:00:51,2017-08-25,25.0,48.0,2017-08,2017,8,5642,januaria,MG,0,4.0,4.0,-1.0,2.0
